response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0372,0.0235,0.0002,0.0001,0.0081,0.0054,200,0.2030
0.0568,0.0234,0.0003,0.0001,0.0265,0.0066,200,0.2029
0.0599,0.0442,0.0004,0.0001,0.0103,0.0053,200,0.2029
0.0657,0.0254,0.0004,0.0000,0.0323,0.0079,200,0.2029
0.0681,0.0499,0.0004,0.0001,0.0118,0.0062,200,0.2029
0.0484,0.0277,0.0001,0.0001,0.0124,0.0082,200,0.4029
0.0619,0.0441,0.0000,0.0001,0.0099,0.0078,200,0.4029
0.0629,0.0457,0.0001,0.0001,0.0091,0.0080,200,0.4029
0.0738,0.0294,0.0000,0.0000,0.0331,0.0112,200,0.4029
0.0811,0.0560,0.0000,0.0000,0.0181,0.0069,200,0.4029
0.0578,0.0341,0.0000,0.0001,0.0091,0.0145,200,0.6029
0.0720,0.0573,0.0000,0.0001,0.0080,0.0066,200,0.6030
0.0800,0.0576,0.0000,0.0001,0.0157,0.0066,200,0.6029
0.0837,0.0342,0.0001,0.0000,0.0381,0.0113,200,0.6029
0.0855,0.0637,0.0001,0.0001,0.0115,0.0102,200,0.6030
0.0408,0.0271,0.0001,0.0001,0.0080,0.0056,200,0.8028
0.0655,0.0426,0.0000,0.0001,0.0089,0.0139,200,0.8027
0.0658,0.0441,0.0000,0.0000,0.0087,0.0129,200,0.8029
0.0659,0.0443,0.0001,0.0001,0.0090,0.0125,200,0.8028
0.0679,0.0467,0.0000,0.0001,0.0117,0.0095,200,0.8028
0.0640,0.0396,0.0000,0.0001,0.0119,0.0124,200,1.0028
0.0643,0.0410,0.0000,0.0000,0.0106,0.0126,200,1.0029
0.0652,0.0396,0.0000,0.0001,0.0126,0.0129,200,1.0029
0.0970,0.0808,0.0001,0.0000,0.0078,0.0083,200,1.0030
0.0974,0.0411,0.0000,0.0000,0.0457,0.0106,200,1.0029
0.0685,0.0396,0.0000,0.0000,0.0229,0.0059,200,1.2029
0.0814,0.0494,0.0000,0.0000,0.0232,0.0088,200,1.2029
0.0898,0.0677,0.0000,0.0000,0.0129,0.0091,200,1.2028
0.0931,0.0581,0.0000,0.0000,0.0224,0.0125,200,1.2030
0.0935,0.0510,0.0000,0.0001,0.0293,0.0131,200,1.2029
0.0583,0.0409,0.0000,0.0001,0.0107,0.0067,200,1.4029
0.0890,0.0393,0.0000,0.0000,0.0408,0.0088,200,1.4028
0.0947,0.0409,0.0000,0.0000,0.0412,0.0125,200,1.4027
0.0967,0.0721,0.0001,0.0001,0.0143,0.0101,200,1.4028
0.0968,0.0740,0.0000,0.0001,0.0115,0.0112,200,1.4029
0.0542,0.0391,0.0000,0.0001,0.0098,0.0052,200,1.6028
0.0879,0.0418,0.0000,0.0001,0.0392,0.0068,200,1.6027
0.0972,0.0743,0.0000,0.0001,0.0107,0.0121,200,1.6028
0.0978,0.0725,0.0000,0.0001,0.0104,0.0148,200,1.6028
0.0980,0.0418,0.0000,0.0000,0.0409,0.0152,200,1.6028
0.0542,0.0344,0.0000,0.0000,0.0112,0.0085,200,1.8029
0.0575,0.0362,0.0000,0.0001,0.0138,0.0075,200,1.8029
0.0610,0.0361,0.0001,0.0000,0.0169,0.0080,200,1.8029
0.0819,0.0343,0.0000,0.0001,0.0417,0.0058,200,1.8029
0.0872,0.0697,0.0000,0.0001,0.0116,0.0058,200,1.8029
0.0535,0.0393,0.0000,0.0000,0.0092,0.0050,200,2.0029
0.1061,0.0632,0.0000,0.0000,0.0351,0.0077,200,2.0029
0.1134,0.0633,0.0000,0.0001,0.0357,0.0142,200,2.0029
0.1143,0.0936,0.0000,0.0000,0.0107,0.0099,200,2.0030
0.1154,0.0919,0.0000,0.0001,0.0109,0.0126,200,2.0029
0.0823,0.0660,0.0000,0.0001,0.0091,0.0071,200,2.2029
0.0860,0.0396,0.0001,0.0001,0.0405,0.0057,200,2.2029
0.0923,0.0721,0.0000,0.0001,0.0121,0.0081,200,2.2029
0.1084,0.0642,0.0000,0.0001,0.0364,0.0078,200,2.2029
0.1099,0.0922,0.0000,0.0001,0.0085,0.0091,200,2.2029
0.0595,0.0398,0.0000,0.0000,0.0120,0.0076,200,2.4028
0.0609,0.0414,0.0000,0.0001,0.0116,0.0079,200,2.4029
0.0723,0.0563,0.0001,0.0001,0.0100,0.0059,200,2.4029
0.1051,0.0568,0.0000,0.0000,0.0372,0.0110,200,2.4030
0.1076,0.0880,0.0000,0.0001,0.0079,0.0117,200,2.4028
0.0589,0.0393,0.0000,0.0000,0.0116,0.0080,200,2.6027
0.0726,0.0549,0.0001,0.0000,0.0090,0.0087,200,2.6028
0.0730,0.0574,0.0001,0.0001,0.0088,0.0067,200,2.6028
