response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0452,0.0401,0.0002,0.0001,0.0047,0.0002,200,0.2024
0.0694,0.0654,0.0006,0.0001,0.0037,0.0001,200,0.2021
0.0696,0.0659,0.0004,0.0001,0.0034,0.0001,200,0.2022
0.0700,0.0659,0.0003,0.0001,0.0038,0.0001,200,0.2023
0.0711,0.0669,0.0006,0.0001,0.0040,0.0001,200,0.2022
0.0259,0.0222,0.0001,0.0001,0.0035,0.0002,200,0.4023
0.0390,0.0356,0.0000,0.0001,0.0032,0.0001,200,0.4022
0.0407,0.0372,0.0000,0.0001,0.0034,0.0001,200,0.4023
0.0419,0.0383,0.0000,0.0001,0.0034,0.0001,200,0.4022
0.0420,0.0382,0.0000,0.0001,0.0036,0.0001,200,0.4023
0.0399,0.0357,0.0000,0.0001,0.0040,0.0001,200,0.6023
0.0400,0.0354,0.0000,0.0000,0.0045,0.0001,200,0.6023
0.0931,0.0666,0.0000,0.0001,0.0263,0.0001,200,0.6023
0.0935,0.0340,0.0000,0.0001,0.0593,0.0001,200,0.6022
0.0947,0.0914,0.0000,0.0001,0.0031,0.0001,200,0.6023
0.0400,0.0360,0.0000,0.0001,0.0039,0.0001,200,0.8022
0.0415,0.0377,0.0001,0.0001,0.0036,0.0001,200,0.8022
0.0642,0.0608,0.0000,0.0000,0.0032,0.0001,200,0.8023
0.0890,0.0607,0.0000,0.0001,0.0281,0.0001,200,0.8023
0.0904,0.0873,0.0001,0.0001,0.0029,0.0001,200,0.8022
0.0384,0.0344,0.0000,0.0000,0.0039,0.0001,200,1.0023
0.0606,0.0572,0.0000,0.0000,0.0032,0.0001,200,1.0023
0.0623,0.0589,0.0000,0.0001,0.0032,0.0001,200,1.0022
0.0680,0.0347,0.0001,0.0001,0.0331,0.0001,200,1.0022
0.0698,0.0663,0.0001,0.0001,0.0033,0.0001,200,1.0023
0.0379,0.0339,0.0001,0.0000,0.0039,0.0001,200,1.2022
0.0664,0.0349,0.0000,0.0001,0.0314,0.0001,200,1.2023
0.0666,0.0349,0.0000,0.0000,0.0315,0.0001,200,1.2022
0.0679,0.0645,0.0000,0.0001,0.0032,0.0001,200,1.2023
0.0681,0.0648,0.0001,0.0001,0.0031,0.0001,200,1.2022
0.0386,0.0341,0.0000,0.0001,0.0044,0.0001,200,1.4022
0.0585,0.0552,0.0000,0.0001,0.0031,0.0001,200,1.4023
0.1066,0.0568,0.0000,0.0001,0.0497,0.0001,200,1.4023
0.1072,0.0834,0.0000,0.0000,0.0237,0.0001,200,1.4022
0.1085,0.1050,0.0001,0.0001,0.0032,0.0001,200,1.4023
0.0385,0.0344,0.0000,0.0000,0.0040,0.0001,200,1.6023
0.0391,0.0354,0.0000,0.0001,0.0035,0.0001,200,1.6023
0.0937,0.0674,0.0000,0.0001,0.0261,0.0001,200,1.6023
0.0939,0.0355,0.0000,0.0001,0.0582,0.0001,200,1.6022
0.0954,0.0918,0.0000,0.0001,0.0034,0.0001,200,1.6023
0.0344,0.0303,0.0001,0.0000,0.0040,0.0001,200,1.8022
0.0586,0.0551,0.0000,0.0002,0.0032,0.0001,200,1.8022
0.0606,0.0568,0.0000,0.0001,0.0037,0.0001,200,1.8022
0.0607,0.0568,0.0000,0.0000,0.0038,0.0001,200,1.8023
0.0607,0.0566,0.0000,0.0000,0.0040,0.0000,200,1.8023
0.0454,0.0412,0.0001,0.0000,0.0041,0.0001,200,2.0021
