response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0485,0.0401,0.0002,0.0001,0.0079,0.0003,200,0.2030
0.0515,0.0443,0.0004,0.0001,0.0068,0.0002,200,0.2029
0.0701,0.0644,0.0001,0.0000,0.0051,0.0003,200,0.2030
0.0958,0.0662,0.0004,0.0001,0.0292,0.0002,200,0.2028
0.0968,0.0916,0.0003,0.0001,0.0048,0.0002,200,0.2029
0.0329,0.0270,0.0000,0.0001,0.0056,0.0002,200,0.4028
0.0344,0.0286,0.0000,0.0001,0.0054,0.0004,200,0.4030
0.0345,0.0285,0.0000,0.0001,0.0056,0.0004,200,0.4030
0.0527,0.0448,0.0000,0.0000,0.0076,0.0002,200,0.4029
0.0534,0.0464,0.0000,0.0000,0.0067,0.0003,200,0.4029
0.0285,0.0228,0.0001,0.0001,0.0054,0.0002,200,0.6029
0.0286,0.0238,0.0000,0.0001,0.0044,0.0003,200,0.6029
0.0289,0.0227,0.0000,0.0001,0.0057,0.0004,200,0.6029
0.0436,0.0219,0.0000,0.0001,0.0215,0.0002,200,0.6028
0.0453,0.0408,0.0001,0.0001,0.0042,0.0002,200,0.6028
0.0469,0.0399,0.0000,0.0000,0.0066,0.0003,200,0.8029
0.0473,0.0400,0.0001,0.0000,0.0071,0.0002,200,0.8028
0.0703,0.0647,0.0000,0.0000,0.0053,0.0002,200,0.8029
0.0964,0.0646,0.0000,0.0001,0.0314,0.0003,200,0.8030
0.0976,0.0915,0.0000,0.0000,0.0058,0.0002,200,0.8029
0.0584,0.0519,0.0000,0.0000,0.0061,0.0004,200,1.0027
0.0613,0.0301,0.0000,0.0001,0.0309,0.0003,200,1.0028
0.0636,0.0578,0.0000,0.0001,0.0054,0.0003,200,1.0028
0.0817,0.0501,0.0000,0.0000,0.0313,0.0002,200,1.0028
0.0834,0.0782,0.0000,0.0000,0.0048,0.0003,200,1.0028
0.0483,0.0411,0.0000,0.0001,0.0068,0.0004,200,1.2030
0.0702,0.0640,0.0000,0.0000,0.0058,0.0003,200,1.2028
0.0726,0.0655,0.0000,0.0001,0.0066,0.0004,200,1.2030
0.0728,0.0656,0.0000,0.0001,0.0066,0.0005,200,1.2029
0.0730,0.0658,0.0000,0.0001,0.0068,0.0003,200,1.2029
0.0600,0.0540,0.0000,0.0001,0.0055,0.0004,200,1.4030
0.0660,0.0376,0.0000,0.0001,0.0281,0.0002,200,1.4029
0.0677,0.0627,0.0001,0.0001,0.0047,0.0002,200,1.4030
0.0763,0.0542,0.0000,0.0001,0.0219,0.0002,200,1.4029
0.0777,0.0738,0.0000,0.0001,0.0036,0.0002,200,1.4028
0.0520,0.0449,0.0000,0.0000,0.0066,0.0003,200,1.6029
0.0541,0.0467,0.0001,0.0000,0.0072,0.0002,200,1.6027
0.0936,0.0302,0.0000,0.0001,0.0632,0.0001,200,1.6028
0.0937,0.0652,0.0000,0.0000,0.0281,0.0004,200,1.6029
0.0948,0.0887,0.0001,0.0001,0.0057,0.0003,200,1.6027
0.0345,0.0288,0.0000,0.0001,0.0054,0.0002,200,1.8029
0.0509,0.0455,0.0001,0.0000,0.0050,0.0003,200,1.8028
0.0514,0.0453,0.0000,0.0000,0.0057,0.0003,200,1.8028
0.0580,0.0273,0.0000,0.0000,0.0305,0.0001,200,1.8028
0.0597,0.0537,0.0000,0.0001,0.0058,0.0002,200,1.8028
0.0365,0.0304,0.0000,0.0000,0.0059,0.0002,200,2.0029
0.0548,0.0494,0.0000,0.0000,0.0052,0.0001,200,2.0028
0.1005,0.0494,0.0000,0.0001,0.0509,0.0001,200,2.0029
0.1018,0.0748,0.0000,0.0001,0.0267,0.0002,200,2.0029
0.1021,0.0956,0.0000,0.0000,0.0058,0.0006,200,2.0029
0.0368,0.0300,0.0000,0.0001,0.0065,0.0003,200,2.2029
0.0590,0.0530,0.0000,0.0001,0.0056,0.0004,200,2.2028
0.0604,0.0545,0.0000,0.0000,0.0056,0.0002,200,2.2029
0.0675,0.0316,0.0001,0.0000,0.0356,0.0002,200,2.2030
0.0694,0.0640,0.0000,0.0001,0.0049,0.0004,200,2.2029
0.0362,0.0300,0.0000,0.0001,0.0058,0.0003,200,2.4029
0.0544,0.0475,0.0001,0.0001,0.0065,0.0003,200,2.4029
0.0555,0.0492,0.0001,0.0001,0.0058,0.0004,200,2.4028
0.0635,0.0318,0.0000,0.0000,0.0314,0.0003,200,2.4029
0.0658,0.0594,0.0000,0.0001,0.0061,0.0003,200,2.4029
0.0402,0.0340,0.0000,0.0000,0.0060,0.0002,200,2.6030
0.0635,0.0579,0.0000,0.0001,0.0053,0.0001,200,2.6028
0.0639,0.0578,0.0000,0.0001,0.0057,0.0003,200,2.6029
0.0704,0.0342,0.0001,0.0000,0.0360,0.0002,200,2.6029
0.0722,0.0660,0.0000,0.0000,0.0058,0.0003,200,2.6029
0.0655,0.0583,0.0000,0.0001,0.0070,0.0001,200,2.8030
0.0698,0.0341,0.0000,0.0001,0.0353,0.0003,200,2.8028
0.0720,0.0654,0.0000,0.0001,0.0063,0.0003,200,2.8029
0.0881,0.0569,0.0000,0.0000,0.0310,0.0002,200,2.8029
0.0894,0.0842,0.0000,0.0001,0.0050,0.0002,200,2.8030
0.0404,0.0341,0.0000,0.0001,0.0059,0.0003,200,3.0029
0.0420,0.0357,0.0001,0.0001,0.0058,0.0003,200,3.0028
0.0634,0.0569,0.0000,0.0001,0.0061,0.0003,200,3.0029
0.0879,0.0571,0.0000,0.0000,0.0305,0.0003,200,3.0029
0.0889,0.0835,0.0000,0.0000,0.0051,0.0002,200,3.0030
0.0470,0.0395,0.0000,0.0001,0.0073,0.0001,200,3.2029
0.0482,0.0409,0.0000,0.0000,0.0070,0.0002,200,3.2030
0.0718,0.0663,0.0000,0.0001,0.0054,0.0001,200,3.2030
0.0967,0.0648,0.0000,0.0001,0.0317,0.0001,200,3.2028
0.0979,0.0923,0.0000,0.0001,0.0052,0.0004,200,3.2029
0.0465,0.0395,0.0000,0.0000,0.0067,0.0002,200,3.4030
0.0773,0.0412,0.0000,0.0001,0.0357,0.0003,200,3.4029
0.0783,0.0420,0.0000,0.0001,0.0359,0.0003,200,3.4028
0.0798,0.0732,0.0000,0.0000,0.0062,0.0003,200,3.4030
0.0804,0.0748,0.0000,0.0000,0.0052,0.0002,200,3.4029
0.0570,0.0491,0.0000,0.0001,0.0076,0.0002,200,3.6029
0.0780,0.0393,0.0001,0.0001,0.0383,0.0002,200,3.6028
0.0810,0.0740,0.0000,0.0001,0.0067,0.0001,200,3.6029
0.0851,0.0511,0.0000,0.0000,0.0338,0.0001,200,3.6029
0.0863,0.0808,0.0000,0.0001,0.0053,0.0001,200,3.6029
0.0431,0.0349,0.0000,0.0001,0.0079,0.0002,200,3.8029
0.0434,0.0368,0.0001,0.0001,0.0062,0.0003,200,3.8029
0.0436,0.0354,0.0000,0.0000,0.0075,0.0007,200,3.8029
0.0629,0.0572,0.0001,0.0000,0.0054,0.0002,200,3.8028
0.0640,0.0587,0.0000,0.0000,0.0049,0.0003,200,3.8029
0.0499,0.0405,0.0000,0.0000,0.0091,0.0001,200,4.0029
0.0661,0.0604,0.0000,0.0001,0.0055,0.0001,200,4.0029
0.0693,0.0620,0.0000,0.0000,0.0071,0.0002,200,4.0030
0.0793,0.0390,0.0000,0.0001,0.0401,0.0001,200,4.0028
0.0806,0.0747,0.0000,0.0001,0.0056,0.0002,200,4.0030
0.0421,0.0354,0.0000,0.0001,0.0064,0.0002,200,4.2029
0.0622,0.0573,0.0000,0.0001,0.0045,0.0002,200,4.2029
0.0627,0.0575,0.0000,0.0001,0.0049,0.0002,200,4.2028
0.0670,0.0338,0.0000,0.0001,0.0330,0.0001,200,4.2028
0.0706,0.0642,0.0000,0.0001,0.0060,0.0003,200,4.2028
0.0514,0.0450,0.0000,0.0001,0.0061,0.0002,200,4.4030
0.0563,0.0507,0.0001,0.0000,0.0052,0.0003,200,4.4029
0.0566,0.0508,0.0000,0.0001,0.0053,0.0004,200,4.4029
0.0633,0.0300,0.0001,0.0000,0.0330,0.0003,200,4.4029
0.0650,0.0599,0.0000,0.0001,0.0048,0.0002,200,4.4028
0.0732,0.0664,0.0000,0.0000,0.0067,0.0001,200,4.6029
0.0764,0.0392,0.0000,0.0001,0.0368,0.0003,200,4.6029
