response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0491,0.0381,0.0003,0.0001,0.0081,0.0027,200,0.2038
0.0495,0.0382,0.0002,0.0001,0.0084,0.0028,200,0.2038
0.0529,0.0422,0.0004,0.0001,0.0083,0.0023,200,0.2039
0.0805,0.0399,0.0003,0.0001,0.0390,0.0014,200,0.2037
0.0818,0.0744,0.0003,0.0001,0.0054,0.0018,200,0.2039
0.0492,0.0391,0.0000,0.0001,0.0074,0.0026,200,0.4037
0.0522,0.0405,0.0000,0.0000,0.0089,0.0027,200,0.4039
0.0525,0.0408,0.0000,0.0001,0.0092,0.0024,200,0.4038
0.0716,0.0638,0.0000,0.0001,0.0059,0.0018,200,0.4038
0.0720,0.0637,0.0001,0.0000,0.0062,0.0020,200,0.4039
0.0468,0.0342,0.0000,0.0001,0.0097,0.0028,200,0.6038
0.0470,0.0359,0.0001,0.0000,0.0079,0.0031,200,0.6038
0.0474,0.0344,0.0001,0.0000,0.0101,0.0028,200,0.6037
0.0668,0.0593,0.0000,0.0000,0.0061,0.0014,200,0.6037
0.0681,0.0593,0.0000,0.0000,0.0073,0.0014,200,0.6039
0.0295,0.0220,0.0000,0.0001,0.0062,0.0013,200,0.8038
0.0431,0.0359,0.0000,0.0001,0.0049,0.0022,200,0.8038
0.0447,0.0374,0.0000,0.0000,0.0053,0.0019,200,0.8039
0.0479,0.0222,0.0001,0.0000,0.0248,0.0009,200,0.8037
0.0492,0.0427,0.0000,0.0001,0.0052,0.0012,200,0.8038
0.0400,0.0322,0.0000,0.0000,0.0061,0.0017,200,1.0038
0.0548,0.0481,0.0000,0.0000,0.0052,0.0014,200,1.0038
0.0560,0.0497,0.0000,0.0000,0.0045,0.0017,200,1.0038
0.0626,0.0338,0.0001,0.0000,0.0270,0.0017,200,1.0037
0.0637,0.0574,0.0000,0.0000,0.0042,0.0021,200,1.0039
0.0444,0.0342,0.0000,0.0001,0.0085,0.0017,200,1.2038
0.0446,0.0344,0.0000,0.0001,0.0080,0.0021,200,1.2038
0.0476,0.0360,0.0001,0.0001,0.0101,0.0015,200,1.2037
0.0653,0.0579,0.0000,0.0001,0.0057,0.0015,200,1.2038
0.0662,0.0578,0.0001,0.0000,0.0068,0.0014,200,1.2038
0.0445,0.0358,0.0000,0.0001,0.0068,0.0017,200,1.4037
0.0655,0.0586,0.0000,0.0000,0.0053,0.0015,200,1.4039
0.0690,0.0604,0.0001,0.0000,0.0065,0.0021,200,1.4038
0.0726,0.0341,0.0000,0.0000,0.0361,0.0024,200,1.4038
0.0743,0.0670,0.0000,0.0001,0.0055,0.0017,200,1.4038
0.0454,0.0360,0.0000,0.0000,0.0069,0.0024,200,1.6037
0.0667,0.0588,0.0000,0.0000,0.0060,0.0018,200,1.6039
0.0688,0.0605,0.0000,0.0000,0.0063,0.0019,200,1.6037
0.0741,0.0341,0.0000,0.0001,0.0380,0.0020,200,1.6038
0.0760,0.0679,0.0000,0.0001,0.0064,0.0016,200,1.6039
0.0392,0.0303,0.0001,0.0001,0.0070,0.0017,200,1.8037
0.0414,0.0319,0.0000,0.0001,0.0077,0.0018,200,1.8038
0.0585,0.0518,0.0000,0.0000,0.0052,0.0015,200,1.8038
0.0790,0.0503,0.0000,0.0001,0.0271,0.0015,200,1.8038
0.0803,0.0738,0.0000,0.0000,0.0050,0.0014,200,1.8039
0.0493,0.0396,0.0001,0.0001,0.0070,0.0027,200,2.0037
0.0516,0.0420,0.0000,0.0001,0.0070,0.0025,200,2.0038
0.0571,0.0419,0.0000,0.0001,0.0121,0.0030,200,2.0038
0.0793,0.0412,0.0000,0.0000,0.0365,0.0015,200,2.0038
0.0840,0.0730,0.0000,0.0000,0.0092,0.0017,200,2.0039
0.0505,0.0396,0.0000,0.0000,0.0091,0.0018,200,2.2037
0.0590,0.0513,0.0000,0.0001,0.0058,0.0018,200,2.2038
0.0644,0.0543,0.0001,0.0000,0.0067,0.0032,200,2.2038
0.0715,0.0639,0.0000,0.0000,0.0058,0.0017,200,2.2038
0.0730,0.0655,0.0000,0.0000,0.0059,0.0016,200,2.2038
0.0744,0.0659,0.0001,0.0001,0.0066,0.0018,200,2.4037
0.0783,0.0392,0.0000,0.0000,0.0375,0.0015,200,2.4038
0.0798,0.0725,0.0000,0.0001,0.0055,0.0018,200,2.4038
0.0978,0.0659,0.0001,0.0001,0.0304,0.0015,200,2.4038
0.0989,0.0920,0.0000,0.0000,0.0057,0.0011,200,2.4038
0.0459,0.0368,0.0000,0.0000,0.0066,0.0025,200,2.6037
0.0479,0.0383,0.0000,0.0001,0.0076,0.0020,200,2.6039
0.0486,0.0383,0.0001,0.0001,0.0079,0.0023,200,2.6037
0.0607,0.0535,0.0000,0.0001,0.0060,0.0012,200,2.6038
0.0621,0.0520,0.0000,0.0001,0.0080,0.0020,200,2.6038
0.0430,0.0346,0.0001,0.0001,0.0065,0.0019,200,2.8037
0.0456,0.0345,0.0000,0.0001,0.0084,0.0026,200,2.8037
0.0948,0.0650,0.0000,0.0001,0.0283,0.0015,200,2.8038
0.0952,0.0360,0.0000,0.0001,0.0578,0.0013,200,2.8038
0.0966,0.0887,0.0000,0.0001,0.0067,0.0011,200,2.8039
0.0391,0.0304,0.0000,0.0001,0.0067,0.0018,200,3.0038
0.0405,0.0318,0.0000,0.0000,0.0069,0.0018,200,3.0038
0.0414,0.0303,0.0000,0.0001,0.0079,0.0032,200,3.0037
0.0582,0.0512,0.0000,0.0000,0.0050,0.0018,200,3.0038
0.0598,0.0530,0.0000,0.0000,0.0052,0.0015,200,3.0037
0.0506,0.0400,0.0000,0.0001,0.0083,0.0023,200,3.2038
0.0518,0.0416,0.0000,0.0001,0.0069,0.0032,200,3.2038
0.0521,0.0416,0.0000,0.0001,0.0072,0.0032,200,3.2037
0.0724,0.0646,0.0001,0.0000,0.0062,0.0016,200,3.2038
0.0742,0.0661,0.0001,0.0001,0.0060,0.0019,200,3.2037
0.0667,0.0588,0.0000,0.0001,0.0061,0.0018,200,3.4038
0.0777,0.0396,0.0000,0.0000,0.0364,0.0016,200,3.4038
0.0794,0.0724,0.0000,0.0001,0.0055,0.0015,200,3.4037
0.0954,0.0604,0.0001,0.0000,0.0333,0.0017,200,3.4037
0.0968,0.0896,0.0001,0.0001,0.0058,0.0013,200,3.4038
0.0370,0.0292,0.0000,0.0001,0.0058,0.0020,200,3.6038
0.0527,0.0449,0.0000,0.0001,0.0060,0.0017,200,3.6037
0.0560,0.0464,0.0000,0.0000,0.0075,0.0020,200,3.6038
0.0595,0.0274,0.0001,0.0001,0.0303,0.0017,200,3.6038
0.0622,0.0541,0.0000,0.0000,0.0062,0.0018,200,3.6038
0.0431,0.0340,0.0000,0.0001,0.0069,0.0022,200,3.8039
0.0635,0.0567,0.0000,0.0001,0.0054,0.0014,200,3.8037
0.0667,0.0582,0.0000,0.0001,0.0077,0.0008,200,3.8038
0.0716,0.0340,0.0001,0.0001,0.0356,0.0020,200,3.8037
