response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0461,0.0401,0.0004,0.0001,0.0056,0.0001,200,0.2036
0.0462,0.0403,0.0005,0.0001,0.0056,0.0001,200,0.2035
0.0558,0.0518,0.0004,0.0001,0.0036,0.0001,200,0.2034
0.0737,0.0517,0.0005,0.0001,0.0217,0.0001,200,0.2034
0.0749,0.0708,0.0003,0.0001,0.0038,0.0001,200,0.2035
0.0354,0.0305,0.0001,0.0000,0.0048,0.0001,200,0.4035
0.0553,0.0509,0.0001,0.0000,0.0043,0.0001,200,0.4035
0.0557,0.0510,0.0000,0.0001,0.0045,0.0001,200,0.4035
0.0602,0.0305,0.0000,0.0001,0.0296,0.0001,200,0.4034
0.0614,0.0576,0.0000,0.0000,0.0037,0.0001,200,0.4035
0.0469,0.0415,0.0000,0.0001,0.0052,0.0001,200,0.6035
0.0604,0.0560,0.0000,0.0001,0.0041,0.0001,200,0.6034
0.0623,0.0579,0.0000,0.0001,0.0042,0.0001,200,0.6034
0.0731,0.0399,0.0001,0.0001,0.0330,0.0001,200,0.6035
0.0747,0.0712,0.0000,0.0000,0.0033,0.0001,200,0.6035
0.0558,0.0508,0.0000,0.0001,0.0048,0.0001,200,0.8035
0.0614,0.0306,0.0000,0.0001,0.0306,0.0001,200,0.8035
0.0632,0.0591,0.0000,0.0000,0.0040,0.0001,200,0.8034
0.0801,0.0528,0.0001,0.0001,0.0271,0.0001,200,0.8034
0.0820,0.0777,0.0000,0.0001,0.0041,0.0001,200,0.8034
0.0468,0.0420,0.0000,0.0001,0.0046,0.0001,200,1.0035
0.0470,0.0412,0.0001,0.0001,0.0056,0.0001,200,1.0034
0.0479,0.0421,0.0001,0.0001,0.0055,0.0001,200,1.0034
0.0736,0.0395,0.0000,0.0000,0.0339,0.0001,200,1.0034
0.0751,0.0709,0.0000,0.0001,0.0041,0.0001,200,1.0035
0.0372,0.0310,0.0001,0.0001,0.0060,0.0001,200,1.2035
0.0377,0.0328,0.0000,0.0001,0.0047,0.0001,200,1.2035
0.0380,0.0326,0.0000,0.0000,0.0052,0.0001,200,1.2035
0.0600,0.0312,0.0000,0.0001,0.0287,0.0001,200,1.2034
0.0614,0.0574,0.0000,0.0000,0.0038,0.0001,200,1.2035
0.0634,0.0583,0.0000,0.0000,0.0050,0.0001,200,1.4034
0.0673,0.0632,0.0000,0.0001,0.0039,0.0001,200,1.4035
0.0694,0.0649,0.0000,0.0001,0.0043,0.0001,200,1.4034
0.0894,0.0587,0.0000,0.0001,0.0305,0.0001,200,1.4033
0.0909,0.0868,0.0000,0.0000,0.0039,0.0001,200,1.4034
0.0403,0.0350,0.0000,0.0000,0.0051,0.0001,200,1.6035
0.0415,0.0368,0.0000,0.0000,0.0044,0.0001,200,1.6034
0.0527,0.0482,0.0000,0.0000,0.0043,0.0001,200,1.6034
0.0811,0.0502,0.0000,0.0000,0.0307,0.0001,200,1.6035
0.0824,0.0788,0.0000,0.0001,0.0035,0.0001,200,1.6035
0.0415,0.0351,0.0000,0.0001,0.0062,0.0001,200,1.8035
0.0433,0.0377,0.0000,0.0001,0.0054,0.0001,200,1.8035
0.0441,0.0384,0.0001,0.0001,0.0056,0.0001,200,1.8035
0.0700,0.0351,0.0000,0.0001,0.0347,0.0001,200,1.8034
0.0714,0.0671,0.0000,0.0000,0.0041,0.0001,200,1.8035
0.0465,0.0411,0.0001,0.0000,0.0052,0.0001,200,2.0034
0.0693,0.0648,0.0000,0.0000,0.0043,0.0001,200,2.0034
0.0694,0.0648,0.0000,0.0001,0.0045,0.0001,200,2.0034
0.0751,0.0392,0.0000,0.0001,0.0357,0.0001,200,2.0034
0.0766,0.0723,0.0000,0.0001,0.0041,0.0001,200,2.0035
0.0456,0.0395,0.0000,0.0000,0.0059,0.0001,200,2.2034
0.0456,0.0394,0.0000,0.0001,0.0060,0.0000,200,2.2034
0.0460,0.0409,0.0000,0.0000,0.0050,0.0000,200,2.2033
0.0671,0.0631,0.0001,0.0000,0.0039,0.0001,200,2.2035
0.0675,0.0630,0.0000,0.0001,0.0043,0.0001,200,2.2035
0.0461,0.0403,0.0000,0.0000,0.0056,0.0001,200,2.4035
0.0470,0.0407,0.0000,0.0000,0.0062,0.0001,200,2.4036
0.0474,0.0404,0.0001,0.0001,0.0068,0.0001,200,2.4034
0.0820,0.0393,0.0000,0.0001,0.0425,0.0001,200,2.4034
0.0835,0.0794,0.0000,0.0000,0.0040,0.0001,200,2.4035
0.0476,0.0408,0.0000,0.0000,0.0067,0.0001,200,2.6034
0.1196,0.0392,0.0000,0.0001,0.0802,0.0001,200,2.6033
0.1199,0.0713,0.0000,0.0001,0.0484,0.0001,200,2.6034
0.1201,0.0957,0.0000,0.0000,0.0243,0.0001,200,2.6034
0.1219,0.1163,0.0000,0.0001,0.0055,0.0001,200,2.6034
0.0353,0.0301,0.0000,0.0000,0.0051,0.0001,200,2.8035
0.0743,0.0462,0.0001,0.0000,0.0280,0.0001,200,2.8035
0.0747,0.0447,0.0000,0.0001,0.0298,0.0001,200,2.8034
0.0762,0.0719,0.0000,0.0000,0.0041,0.0001,200,2.8034
0.0762,0.0718,0.0000,0.0001,0.0042,0.0001,200,2.8035
0.0398,0.0346,0.0000,0.0001,0.0051,0.0001,200,3.0035
0.0678,0.0348,0.0000,0.0000,0.0329,0.0001,200,3.0035
0.0691,0.0348,0.0000,0.0000,0.0341,0.0001,200,3.0034
0.0698,0.0649,0.0000,0.0000,0.0047,0.0001,200,3.0035
0.0706,0.0665,0.0000,0.0000,0.0040,0.0001,200,3.0035
0.0403,0.0344,0.0000,0.0000,0.0057,0.0001,200,3.2034
0.0588,0.0541,0.0000,0.0000,0.0046,0.0001,200,3.2035
0.0607,0.0557,0.0001,0.0001,0.0048,0.0001,200,3.2034
0.0686,0.0341,0.0000,0.0001,0.0343,0.0001,200,3.2035
0.0700,0.0661,0.0000,0.0000,0.0038,0.0001,200,3.2035
0.0311,0.0262,0.0000,0.0001,0.0047,0.0001,200,3.4035
0.0314,0.0269,0.0000,0.0001,0.0042,0.0001,200,3.4035
0.0314,0.0269,0.0001,0.0001,0.0044,0.0000,200,3.4035
0.0550,0.0245,0.0000,0.0000,0.0303,0.0001,200,3.4034
0.0570,0.0524,0.0000,0.0001,0.0046,0.0001,200,3.4035
0.0463,0.0405,0.0001,0.0000,0.0055,0.0001,200,3.6035
0.0471,0.0416,0.0001,0.0001,0.0053,0.0001,200,3.6035
0.0472,0.0417,0.0001,0.0001,0.0054,0.0000,200,3.6034
0.0701,0.0390,0.0000,0.0000,0.0309,0.0001,200,3.6035
0.0717,0.0680,0.0000,0.0000,0.0036,0.0001,200,3.6034
0.0351,0.0301,0.0000,0.0000,0.0049,0.0001,200,3.8034
0.0552,0.0506,0.0000,0.0000,0.0045,0.0001,200,3.8034
0.0554,0.0504,0.0000,0.0001,0.0047,0.0001,200,3.8035
0.0609,0.0301,0.0000,0.0000,0.0306,0.0001,200,3.8035
0.0626,0.0583,0.0000,0.0000,0.0041,0.0001,200,3.8035
0.0576,0.0528,0.0001,0.0001,0.0046,0.0001,200,4.0034
0.0577,0.0522,0.0001,0.0001,0.0053,0.0001,200,4.0034
0.0581,0.0528,0.0000,0.0001,0.0051,0.0001,200,4.0034
0.0811,0.0504,0.0000,0.0001,0.0305,0.0001,200,4.0033
0.0812,0.0766,0.0000,0.0001,0.0044,0.0001,200,4.0034
0.0397,0.0343,0.0000,0.0001,0.0053,0.0001,200,4.2035
0.0408,0.0359,0.0000,0.0001,0.0047,0.0001,200,4.2035
0.0605,0.0566,0.0001,0.0001,0.0038,0.0001,200,4.2035
0.0768,0.0551,0.0000,0.0001,0.0215,0.0001,200,4.2034
0.0783,0.0741,0.0000,0.0001,0.0040,0.0001,200,4.2035
0.0295,0.0248,0.0000,0.0001,0.0046,0.0000,200,4.4034
0.0309,0.0265,0.0001,0.0001,0.0042,0.0001,200,4.4035
0.0309,0.0263,0.0000,0.0001,0.0045,0.0001,200,4.4035
0.0477,0.0263,0.0001,0.0000,0.0212,0.0001,200,4.4035
0.0494,0.0459,0.0001,0.0001,0.0033,0.0001,200,4.4034
0.0476,0.0418,0.0000,0.0001,0.0056,0.0001,200,4.6034
0.0479,0.0419,0.0000,0.0001,0.0058,0.0001,200,4.6033
0.0478,0.0410,0.0000,0.0001,0.0066,0.0001,200,4.6035
0.0743,0.0392,0.0001,0.0001,0.0349,0.0001,200,4.6035
0.0752,0.0713,0.0001,0.0001,0.0038,0.0001,200,4.6035
0.0466,0.0407,0.0000,0.0000,0.0057,0.0001,200,4.8034
0.0686,0.0638,0.0000,0.0000,0.0045,0.0001,200,4.8035
0.0688,0.0641,0.0000,0.0000,0.0045,0.0001,200,4.8035
0.0739,0.0390,0.0000,0.0000,0.0347,0.0001,200,4.8035
0.0757,0.0716,0.0000,0.0000,0.0040,0.0001,200,4.8035
0.0443,0.0391,0.0001,0.0001,0.0050,0.0001,200,5.0035
0.0676,0.0637,0.0001,0.0000,0.0037,0.0001,200,5.0035
0.0684,0.0637,0.0000,0.0001,0.0046,0.0001,200,5.0034
