response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1076,0.0415,0.0002,0.0001,0.0657,0.0001,200,0.2028
0.1115,0.0659,0.0004,0.0001,0.0454,0.0001,200,0.2027
0.1168,0.0413,0.0003,0.0001,0.0752,0.0001,200,0.2028
0.1171,0.0396,0.0003,0.0001,0.0770,0.0001,200,0.2026
0.1229,0.0676,0.0004,0.0001,0.0550,0.0002,200,0.2027
0.0790,0.0418,0.0000,0.0001,0.0371,0.0001,200,0.4026
0.0849,0.0417,0.0000,0.0001,0.0431,0.0001,200,0.4027
0.0849,0.0406,0.0000,0.0000,0.0442,0.0000,200,0.4027
0.0971,0.0389,0.0000,0.0000,0.0580,0.0001,200,0.4028
0.1033,0.0634,0.0001,0.0001,0.0397,0.0001,200,0.4027
0.0931,0.0397,0.0000,0.0001,0.0533,0.0001,200,0.6027
0.0955,0.0414,0.0000,0.0000,0.0540,0.0001,200,0.6027
0.1010,0.0617,0.0000,0.0001,0.0392,0.0001,200,0.6027
0.1317,0.0634,0.0000,0.0001,0.0682,0.0001,200,0.6027
0.1372,0.0863,0.0001,0.0001,0.0507,0.0001,200,0.6027
0.0874,0.0399,0.0000,0.0001,0.0473,0.0001,200,0.8027
0.0955,0.0473,0.0001,0.0000,0.0481,0.0001,200,0.8027
0.0991,0.0481,0.0000,0.0000,0.0509,0.0001,200,0.8028
0.1049,0.0656,0.0000,0.0000,0.0391,0.0001,200,0.8027
0.1111,0.0418,0.0001,0.0000,0.0691,0.0001,200,0.8027
0.0611,0.0217,0.0000,0.0000,0.0392,0.0001,200,1.0027
0.0726,0.0379,0.0000,0.0001,0.0345,0.0001,200,1.0028
0.0790,0.0379,0.0000,0.0001,0.0410,0.0001,200,1.0028
0.0851,0.0232,0.0000,0.0000,0.0617,0.0001,200,1.0028
0.0910,0.0453,0.0000,0.0001,0.0456,0.0001,200,1.0027
0.0867,0.0393,0.0000,0.0000,0.0472,0.0001,200,1.2027
0.0895,0.0408,0.0001,0.0000,0.0484,0.0001,200,1.2027
0.1515,0.0593,0.0000,0.0001,0.0920,0.0001,200,1.2027
0.1616,0.0608,0.0000,0.0001,0.1007,0.0001,200,1.2027
0.1620,0.0802,0.0000,0.0001,0.0816,0.0001,200,1.2027
0.0876,0.0409,0.0000,0.0001,0.0464,0.0001,200,1.4027
0.0930,0.0410,0.0000,0.0000,0.0519,0.0001,200,1.4027
0.0935,0.0411,0.0000,0.0000,0.0522,0.0001,200,1.4027
0.1054,0.0640,0.0001,0.0001,0.0412,0.0001,200,1.4027
0.1111,0.0383,0.0000,0.0001,0.0727,0.0001,200,1.4027
0.0732,0.0342,0.0000,0.0001,0.0388,0.0001,200,1.6027
0.0976,0.0535,0.0000,0.0001,0.0440,0.0001,200,1.6027
0.1033,0.0589,0.0001,0.0000,0.0443,0.0001,200,1.6026
0.1034,0.0517,0.0000,0.0000,0.0515,0.0001,200,1.6027
0.1036,0.0359,0.0001,0.0000,0.0676,0.0001,200,1.6027
0.0844,0.0358,0.0000,0.0000,0.0485,0.0001,200,1.8026
0.1012,0.0342,0.0000,0.0000,0.0669,0.0001,200,1.8026
0.1075,0.0629,0.0000,0.0000,0.0445,0.0001,200,1.8026
0.1078,0.0343,0.0000,0.0001,0.0734,0.0001,200,1.8025
0.1136,0.0647,0.0000,0.0001,0.0487,0.0001,200,1.8026
0.0757,0.0356,0.0000,0.0000,0.0400,0.0001,200,2.0027
0.0999,0.0357,0.0000,0.0001,0.0640,0.0001,200,2.0027
0.1054,0.0601,0.0000,0.0001,0.0451,0.0001,200,2.0027
0.1053,0.0617,0.0000,0.0000,0.0435,0.0000,200,2.0028
0.1059,0.0340,0.0000,0.0000,0.0717,0.0001,200,2.0028
0.0799,0.0408,0.0000,0.0000,0.0390,0.0001,200,2.2027
0.1030,0.0393,0.0000,0.0000,0.0636,0.0001,200,2.2028
0.1092,0.0658,0.0000,0.0000,0.0432,0.0001,200,2.2028
0.1154,0.0409,0.0000,0.0000,0.0744,0.0001,200,2.2027
0.1154,0.0644,0.0000,0.0001,0.0508,0.0001,200,2.2028
0.1625,0.0711,0.0000,0.0000,0.0912,0.0001,200,2.4027
0.1678,0.0732,0.0000,0.0000,0.0944,0.0001,200,2.4027
0.1680,0.0965,0.0000,0.0001,0.0713,0.0001,200,2.4028
0.1688,0.0392,0.0000,0.0000,0.1295,0.0001,200,2.4026
0.1688,0.0408,0.0000,0.0000,0.1278,0.0001,200,2.4027
0.0774,0.0305,0.0000,0.0000,0.0467,0.0001,200,2.6027
0.1055,0.0540,0.0001,0.0000,0.0514,0.0001,200,2.6027
0.1111,0.0524,0.0000,0.0000,0.0585,0.0001,200,2.6027
0.1111,0.0541,0.0000,0.0001,0.0568,0.0001,200,2.6027
0.1112,0.0540,0.0000,0.0000,0.0571,0.0001,200,2.6027
0.0795,0.0398,0.0001,0.0000,0.0397,0.0001,200,2.8029
0.1039,0.0610,0.0000,0.0001,0.0427,0.0001,200,2.8027
0.1130,0.0636,0.0000,0.0001,0.0493,0.0001,200,2.8027
0.1154,0.0636,0.0000,0.0001,0.0516,0.0001,200,2.8027
0.1216,0.0625,0.0000,0.0000,0.0590,0.0001,200,2.8028
0.0780,0.0346,0.0001,0.0000,0.0433,0.0001,200,3.0027
0.0957,0.0329,0.0000,0.0001,0.0626,0.0001,200,3.0028
0.1015,0.0329,0.0000,0.0001,0.0684,0.0001,200,3.0027
0.1073,0.0598,0.0001,0.0001,0.0473,0.0001,200,3.0027
0.1141,0.0613,0.0000,0.0001,0.0526,0.0001,200,3.0027
0.0878,0.0405,0.0000,0.0001,0.0472,0.0001,200,3.2028
0.1117,0.0408,0.0000,0.0001,0.0707,0.0001,200,3.2027
0.1175,0.0722,0.0000,0.0000,0.0451,0.0001,200,3.2028
0.1176,0.0706,0.0000,0.0000,0.0468,0.0001,200,3.2028
0.1232,0.0421,0.0000,0.0001,0.0809,0.0001,200,3.2027
0.0854,0.0407,0.0000,0.0001,0.0445,0.0001,200,3.4028
0.0916,0.0409,0.0000,0.0001,0.0505,0.0001,200,3.4028
0.1276,0.0653,0.0000,0.0000,0.0621,0.0001,200,3.4028
0.1335,0.0391,0.0000,0.0001,0.0942,0.0001,200,3.4027
0.1395,0.0904,0.0000,0.0001,0.0489,0.0001,200,3.4027
0.0716,0.0303,0.0000,0.0001,0.0411,0.0001,200,3.6026
0.0898,0.0522,0.0000,0.0001,0.0374,0.0001,200,3.6026
0.1388,0.0760,0.0001,0.0001,0.0626,0.0001,200,3.6027
0.1439,0.0505,0.0000,0.0001,0.0933,0.0001,200,3.6025
0.1439,0.0980,0.0000,0.0000,0.0458,0.0001,200,3.6027
0.0693,0.0274,0.0000,0.0000,0.0418,0.0001,200,3.8027
0.0878,0.0472,0.0001,0.0000,0.0405,0.0001,200,3.8027
0.0935,0.0542,0.0000,0.0001,0.0392,0.0001,200,3.8027
0.0994,0.0274,0.0001,0.0000,0.0718,0.0001,200,3.8027
