response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0366,0.0233,0.0002,0.0001,0.0083,0.0048,200,0.2027
0.0572,0.0251,0.0005,0.0001,0.0270,0.0049,200,0.2027
0.0614,0.0234,0.0004,0.0001,0.0293,0.0084,200,0.2026
0.0634,0.0465,0.0005,0.0001,0.0117,0.0050,200,0.2026
0.0646,0.0479,0.0003,0.0001,0.0129,0.0036,200,0.2027
0.0437,0.0292,0.0001,0.0001,0.0079,0.0065,200,0.4027
0.0478,0.0295,0.0000,0.0001,0.0127,0.0055,200,0.4028
0.0528,0.0293,0.0000,0.0001,0.0131,0.0103,200,0.4026
0.0697,0.0275,0.0000,0.0001,0.0352,0.0069,200,0.4027
0.0764,0.0572,0.0000,0.0000,0.0129,0.0062,200,0.4027
0.0665,0.0522,0.0000,0.0000,0.0082,0.0060,200,0.6026
0.0883,0.0755,0.0000,0.0000,0.0073,0.0054,200,0.6027
0.0924,0.0414,0.0001,0.0001,0.0396,0.0113,200,0.6026
0.0966,0.0827,0.0000,0.0001,0.0089,0.0050,200,0.6027
0.1014,0.0537,0.0001,0.0001,0.0432,0.0044,200,0.6027
0.0553,0.0359,0.0000,0.0000,0.0112,0.0082,200,0.8026
0.0558,0.0368,0.0001,0.0001,0.0101,0.0089,200,0.8027
0.0573,0.0369,0.0001,0.0000,0.0120,0.0083,200,0.8027
0.0858,0.0708,0.0000,0.0000,0.0103,0.0046,200,0.8027
0.0869,0.0343,0.0001,0.0001,0.0423,0.0102,200,0.8026
0.0513,0.0306,0.0001,0.0000,0.0117,0.0089,200,1.0026
0.0522,0.0304,0.0000,0.0000,0.0117,0.0100,200,1.0027
0.0536,0.0320,0.0000,0.0000,0.0144,0.0071,200,1.0026
0.0802,0.0320,0.0000,0.0001,0.0422,0.0060,200,1.0027
0.0856,0.0680,0.0001,0.0000,0.0126,0.0050,200,1.0027
0.0443,0.0304,0.0000,0.0000,0.0079,0.0059,200,1.2027
0.0727,0.0303,0.0000,0.0001,0.0363,0.0059,200,1.2025
0.0752,0.0321,0.0000,0.0000,0.0359,0.0072,200,1.2025
0.0796,0.0598,0.0000,0.0001,0.0132,0.0065,200,1.2026
0.0802,0.0616,0.0000,0.0001,0.0137,0.0048,200,1.2027
0.0492,0.0314,0.0000,0.0001,0.0108,0.0069,200,1.4027
0.0496,0.0315,0.0000,0.0001,0.0105,0.0076,200,1.4027
0.0497,0.0304,0.0000,0.0001,0.0122,0.0071,200,1.4028
