response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0505,0.0456,0.0000,0.0001,0.0045,0.0001,200,0.2033
0.0514,0.0474,0.0003,0.0001,0.0037,0.0001,200,0.2032
0.0684,0.0655,0.0001,0.0001,0.0025,0.0001,200,0.2032
0.0915,0.0654,0.0002,0.0001,0.0257,0.0001,200,0.2033
0.0927,0.0906,0.0004,0.0001,0.0019,0.0001,200,0.2030
0.0265,0.0232,0.0001,0.0001,0.0031,0.0001,200,0.4031
0.0275,0.0250,0.0000,0.0001,0.0023,0.0001,200,0.4031
0.0400,0.0374,0.0000,0.0001,0.0024,0.0001,200,0.4032
0.0565,0.0360,0.0000,0.0000,0.0204,0.0001,200,0.4031
0.0577,0.0557,0.0000,0.0000,0.0018,0.0001,200,0.4032
0.0577,0.0544,0.0001,0.0001,0.0032,0.0001,200,0.6031
0.0659,0.0343,0.0000,0.0001,0.0314,0.0001,200,0.6032
0.0673,0.0650,0.0000,0.0001,0.0022,0.0001,200,0.6033
0.0807,0.0528,0.0000,0.0001,0.0277,0.0001,200,0.6032
0.0821,0.0800,0.0001,0.0000,0.0020,0.0001,200,0.6031
0.0419,0.0391,0.0000,0.0001,0.0026,0.0001,200,0.8032
0.0531,0.0274,0.0000,0.0001,0.0256,0.0001,200,0.8032
0.0546,0.0523,0.0001,0.0001,0.0022,0.0001,200,0.8032
0.0656,0.0389,0.0000,0.0000,0.0266,0.0001,200,0.8031
0.0668,0.0646,0.0000,0.0001,0.0021,0.0001,200,0.8032
0.0426,0.0390,0.0000,0.0000,0.0034,0.0001,200,1.0032
0.0435,0.0407,0.0000,0.0000,0.0026,0.0001,200,1.0032
0.0631,0.0605,0.0000,0.0001,0.0024,0.0001,200,1.0032
0.0870,0.0589,0.0001,0.0000,0.0280,0.0001,200,1.0031
0.0882,0.0861,0.0001,0.0001,0.0020,0.0001,200,1.0031
0.0342,0.0304,0.0000,0.0001,0.0036,0.0001,200,1.2031
0.0536,0.0506,0.0001,0.0000,0.0028,0.0001,200,1.2032
0.0548,0.0521,0.0000,0.0001,0.0025,0.0001,200,1.2032
0.0604,0.0319,0.0000,0.0001,0.0283,0.0001,200,1.2032
0.0618,0.0594,0.0000,0.0000,0.0022,0.0001,200,1.2032
0.0286,0.0255,0.0000,0.0001,0.0029,0.0001,200,1.4032
0.0512,0.0250,0.0001,0.0001,0.0260,0.0001,200,1.4032
0.0525,0.0260,0.0000,0.0001,0.0263,0.0001,200,1.4032
0.0529,0.0506,0.0000,0.0001,0.0022,0.0000,200,1.4031
0.0543,0.0521,0.0001,0.0000,0.0021,0.0001,200,1.4032
0.0306,0.0272,0.0000,0.0001,0.0032,0.0001,200,1.6031
0.0317,0.0289,0.0000,0.0001,0.0026,0.0001,200,1.6032
0.0319,0.0287,0.0000,0.0000,0.0030,0.0001,200,1.6032
0.0492,0.0465,0.0000,0.0001,0.0025,0.0001,200,1.6031
0.0503,0.0480,0.0000,0.0000,0.0021,0.0001,200,1.6033
0.0378,0.0340,0.0000,0.0000,0.0036,0.0001,200,1.8031
