response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1629,0.0416,0.0005,0.0001,0.1211,0.0001,200,0.2030
0.1714,0.0416,0.0005,0.0001,0.1295,0.0001,200,0.2031
0.1780,0.0396,0.0004,0.0001,0.1380,0.0001,200,0.2031
0.1807,0.0659,0.0004,0.0001,0.1142,0.0002,200,0.2032
0.1820,0.0397,0.0002,0.0001,0.1420,0.0001,200,0.2032
0.1461,0.0292,0.0000,0.0000,0.1166,0.0002,200,0.4031
0.1461,0.0275,0.0001,0.0000,0.1181,0.0004,200,0.4031
0.1473,0.0492,0.0001,0.0001,0.0979,0.0001,200,0.4030
0.1557,0.0275,0.0001,0.0001,0.1280,0.0001,200,0.4031
0.1565,0.0291,0.0001,0.0000,0.1272,0.0001,200,0.4031
0.1328,0.0221,0.0000,0.0000,0.1105,0.0001,200,0.6031
0.1368,0.0359,0.0000,0.0001,0.1007,0.0001,200,0.6031
0.1453,0.0375,0.0000,0.0000,0.1076,0.0001,200,0.6031
0.1573,0.0361,0.0000,0.0001,0.1210,0.0001,200,0.6031
0.1593,0.0377,0.0000,0.0001,0.1214,0.0001,200,0.6030
0.1346,0.0220,0.0001,0.0000,0.1125,0.0001,200,0.8032
0.1477,0.0219,0.0000,0.0001,0.1257,0.0001,200,0.8031
0.1504,0.0357,0.0000,0.0000,0.1146,0.0001,200,0.8032
0.1529,0.0373,0.0000,0.0001,0.1154,0.0001,200,0.8031
0.1544,0.0422,0.0000,0.0001,0.1119,0.0001,200,0.8030
0.1281,0.0220,0.0000,0.0000,0.1060,0.0001,200,1.0030
0.1425,0.0370,0.0000,0.0000,0.1053,0.0001,200,1.0031
0.1456,0.0217,0.0000,0.0000,0.1237,0.0001,200,1.0032
0.1472,0.0370,0.0000,0.0001,0.1100,0.0001,200,1.0031
0.1484,0.0436,0.0000,0.0001,0.1046,0.0001,200,1.0032
0.1266,0.0231,0.0000,0.0000,0.1033,0.0002,200,1.2031
0.1352,0.0246,0.0000,0.0001,0.1103,0.0001,200,1.2032
0.1388,0.0381,0.0000,0.0000,0.1006,0.0001,200,1.2030
0.1531,0.0381,0.0001,0.0001,0.1148,0.0001,200,1.2031
0.1587,0.0597,0.0000,0.0000,0.0989,0.0001,200,1.2031
0.1309,0.0235,0.0000,0.0001,0.1073,0.0001,200,1.4032
0.1471,0.0403,0.0000,0.0001,0.1066,0.0001,200,1.4032
0.1474,0.0388,0.0000,0.0000,0.1085,0.0001,200,1.4030
0.1474,0.0234,0.0001,0.0001,0.1237,0.0001,200,1.4031
0.1524,0.0231,0.0000,0.0001,0.1291,0.0001,200,1.4031
0.1415,0.0419,0.0000,0.0001,0.0994,0.0001,200,1.6031
0.1445,0.0236,0.0001,0.0000,0.1206,0.0002,200,1.6030
0.1466,0.0220,0.0000,0.0001,0.1244,0.0002,200,1.6031
0.1482,0.0220,0.0000,0.0001,0.1260,0.0001,200,1.6031
0.1525,0.0238,0.0000,0.0001,0.1286,0.0001,200,1.6031
0.1486,0.0237,0.0001,0.0000,0.1248,0.0002,200,1.8031
0.1604,0.0433,0.0000,0.0001,0.1169,0.0002,200,1.8031
0.1622,0.0237,0.0001,0.0001,0.1383,0.0001,200,1.8031
0.1626,0.0220,0.0000,0.0001,0.1404,0.0001,200,1.8030
0.1653,0.0418,0.0001,0.0001,0.1233,0.0001,200,1.8031
0.1541,0.0473,0.0000,0.0001,0.1066,0.0001,200,2.0031
0.1637,0.0464,0.0000,0.0000,0.1171,0.0001,200,2.0031
0.1642,0.0449,0.0000,0.0000,0.1191,0.0001,200,2.0030
0.1645,0.0474,0.0000,0.0001,0.1170,0.0001,200,2.0032
0.1716,0.0745,0.0001,0.0000,0.0969,0.0001,200,2.0031
0.1408,0.0218,0.0000,0.0000,0.1188,0.0001,200,2.2032
0.1446,0.0368,0.0000,0.0001,0.1076,0.0001,200,2.2031
0.1460,0.0369,0.0000,0.0001,0.1089,0.0001,200,2.2031
0.1497,0.0368,0.0000,0.0001,0.1127,0.0001,200,2.2032
0.1570,0.0370,0.0000,0.0000,0.1198,0.0001,200,2.2030
0.1436,0.0229,0.0000,0.0001,0.1206,0.0001,200,2.4031
0.1442,0.0370,0.0000,0.0000,0.1070,0.0001,200,2.4031
0.1469,0.0433,0.0000,0.0000,0.1035,0.0001,200,2.4030
0.1476,0.0245,0.0000,0.0000,0.1229,0.0001,200,2.4032
0.1504,0.0370,0.0000,0.0000,0.1133,0.0001,200,2.4032
0.1154,0.0234,0.0000,0.0000,0.0918,0.0001,200,2.6031
0.1186,0.0231,0.0000,0.0000,0.0953,0.0001,200,2.6032
0.1569,0.0439,0.0001,0.0000,0.1128,0.0001,200,2.6031
0.1598,0.0217,0.0000,0.0001,0.1378,0.0001,200,2.6030
0.1622,0.0681,0.0001,0.0000,0.0939,0.0001,200,2.6031
0.1354,0.0220,0.0000,0.0001,0.1133,0.0001,200,2.8031
0.1375,0.0233,0.0000,0.0000,0.1140,0.0001,200,2.8031
0.1483,0.0218,0.0000,0.0001,0.1263,0.0001,200,2.8031
0.1499,0.0283,0.0001,0.0000,0.1215,0.0001,200,2.8030
0.1568,0.0429,0.0001,0.0000,0.1137,0.0001,200,2.8031
0.0903,0.0214,0.0000,0.0001,0.0687,0.0001,200,3.0031
0.1495,0.0334,0.0000,0.0001,0.1160,0.0001,200,3.0031
0.1521,0.0335,0.0001,0.0001,0.1183,0.0001,200,3.0031
0.1567,0.0517,0.0000,0.0001,0.1047,0.0002,200,3.0031
0.1616,0.0516,0.0001,0.0000,0.1098,0.0001,200,3.0030
0.1293,0.0219,0.0000,0.0001,0.1072,0.0001,200,3.2030
0.1424,0.0556,0.0000,0.0001,0.0865,0.0002,200,3.2030
0.1424,0.0360,0.0000,0.0001,0.1062,0.0001,200,3.2030
0.1463,0.0237,0.0000,0.0001,0.1225,0.0001,200,3.2029
0.1508,0.0363,0.0000,0.0001,0.1144,0.0001,200,3.2028
0.1486,0.0234,0.0000,0.0001,0.1250,0.0001,200,3.4030
0.1509,0.0218,0.0000,0.0001,0.1289,0.0001,200,3.4028
0.1513,0.0358,0.0000,0.0000,0.1153,0.0001,200,3.4030
0.1556,0.0232,0.0001,0.0001,0.1322,0.0001,200,3.4029
0.1568,0.0359,0.0000,0.0000,0.1207,0.0001,200,3.4030
0.1626,0.0305,0.0000,0.0001,0.1320,0.0001,200,3.6031
0.1628,0.0319,0.0000,0.0000,0.1305,0.0003,200,3.6030
0.1753,0.0467,0.0000,0.0001,0.1284,0.0001,200,3.6031
0.1786,0.0305,0.0000,0.0001,0.1479,0.0001,200,3.6030
0.1791,0.0468,0.0000,0.0000,0.1322,0.0001,200,3.6032
0.1006,0.0272,0.0000,0.0000,0.0732,0.0001,200,3.8032
0.1609,0.0430,0.0000,0.0001,0.1176,0.0001,200,3.8031
0.1653,0.0630,0.0001,0.0001,0.1021,0.0001,200,3.8030
0.1733,0.0629,0.0000,0.0001,0.1102,0.0001,200,3.8031
0.1787,0.0431,0.0000,0.0001,0.1354,0.0001,200,3.8031
0.1271,0.0216,0.0000,0.0001,0.1053,0.0001,200,4.0032
0.1401,0.0360,0.0000,0.0001,0.1038,0.0001,200,4.0030
0.1400,0.0233,0.0000,0.0001,0.1166,0.0001,200,4.0031
0.1459,0.0358,0.0000,0.0001,0.1099,0.0001,200,4.0031
0.1494,0.0551,0.0000,0.0001,0.0941,0.0001,200,4.0032
0.1008,0.0236,0.0000,0.0000,0.0770,0.0001,200,4.2030
0.1443,0.0412,0.0000,0.0001,0.1029,0.0001,200,4.2032
0.1491,0.0236,0.0000,0.0001,0.1252,0.0001,200,4.2032
0.1553,0.0218,0.0000,0.0001,0.1333,0.0001,200,4.2031
0.1572,0.0413,0.0000,0.0000,0.1156,0.0001,200,4.2032
0.1361,0.0218,0.0000,0.0001,0.1141,0.0001,200,4.4031
0.1378,0.0220,0.0000,0.0000,0.1156,0.0001,200,4.4030
0.1423,0.0358,0.0000,0.0000,0.1063,0.0001,200,4.4031
0.1426,0.0373,0.0000,0.0000,0.1050,0.0002,200,4.4032
0.1441,0.0550,0.0000,0.0001,0.0889,0.0001,200,4.4032
0.1330,0.0215,0.0000,0.0001,0.1113,0.0001,200,4.6031
0.1383,0.0231,0.0000,0.0001,0.1150,0.0002,200,4.6032
0.1393,0.0360,0.0000,0.0001,0.1031,0.0001,200,4.6032
0.1417,0.0361,0.0000,0.0001,0.1054,0.0001,200,4.6030
0.1468,0.0552,0.0000,0.0000,0.0913,0.0001,200,4.6032
0.1479,0.0221,0.0001,0.0000,0.1257,0.0001,200,4.8030
0.1516,0.0222,0.0000,0.0001,0.1288,0.0005,200,4.8031
0.1523,0.0369,0.0001,0.0001,0.1152,0.0002,200,4.8032
0.1572,0.0569,0.0000,0.0001,0.1002,0.0000,200,4.8032
0.1575,0.0355,0.0000,0.0000,0.1216,0.0005,200,4.8031
0.1522,0.0355,0.0000,0.0001,0.1165,0.0001,200,5.0030
0.1550,0.0286,0.0000,0.0000,0.1262,0.0001,200,5.0031
0.1554,0.0262,0.0000,0.0000,0.1291,0.0001,200,5.0031
0.1591,0.0370,0.0001,0.0001,0.1219,0.0001,200,5.0031
0.1614,0.0552,0.0000,0.0000,0.1061,0.0001,200,5.0031
0.1332,0.0217,0.0000,0.0000,0.1112,0.0001,200,5.2031
0.1383,0.0354,0.0001,0.0001,0.1026,0.0001,200,5.2030
0.1387,0.0370,0.0001,0.0000,0.1015,0.0001,200,5.2031
0.1459,0.0599,0.0000,0.0000,0.0858,0.0001,200,5.2031
0.1465,0.0406,0.0000,0.0001,0.1057,0.0001,200,5.2032
0.1102,0.0218,0.0001,0.0001,0.0883,0.0001,200,5.4030
0.1178,0.0232,0.0000,0.0000,0.0944,0.0001,200,5.4031
0.1349,0.0358,0.0000,0.0001,0.0990,0.0001,200,5.4031
0.1517,0.0595,0.0000,0.0001,0.0921,0.0001,200,5.4031
0.1529,0.0375,0.0000,0.0000,0.1152,0.0001,200,5.4029
0.1424,0.0220,0.0000,0.0000,0.1202,0.0001,200,5.6031
0.1527,0.0357,0.0000,0.0001,0.1168,0.0001,200,5.6032
0.1551,0.0378,0.0000,0.0001,0.1171,0.0001,200,5.6030
0.1564,0.0373,0.0000,0.0000,0.1190,0.0001,200,5.6032
0.1706,0.0373,0.0001,0.0000,0.1331,0.0001,200,5.6031
0.1486,0.0372,0.0000,0.0000,0.1111,0.0001,200,5.8031
0.1543,0.0240,0.0001,0.0000,0.1302,0.0001,200,5.8030
0.1544,0.0271,0.0000,0.0001,0.1270,0.0001,200,5.8031
0.1556,0.0357,0.0000,0.0001,0.1197,0.0001,200,5.8031
0.1560,0.0223,0.0000,0.0001,0.1336,0.0001,200,5.8031
0.1392,0.0227,0.0000,0.0001,0.1164,0.0001,200,6.0031
0.1415,0.0226,0.0000,0.0001,0.1187,0.0001,200,6.0031
0.1454,0.0420,0.0001,0.0001,0.1032,0.0001,200,6.0030
0.1456,0.0355,0.0000,0.0000,0.1099,0.0001,200,6.0032
0.1528,0.0372,0.0000,0.0001,0.1155,0.0001,200,6.0031
0.1554,0.0342,0.0000,0.0001,0.1210,0.0001,200,6.2031
0.1621,0.0359,0.0000,0.0001,0.1260,0.0001,200,6.2031
0.1631,0.0342,0.0000,0.0001,0.1287,0.0001,200,6.2030
0.1645,0.0358,0.0000,0.0001,0.1286,0.0001,200,6.2030
0.1723,0.0560,0.0000,0.0000,0.1161,0.0001,200,6.2031
0.1390,0.0224,0.0000,0.0001,0.1164,0.0001,200,6.4030
0.1411,0.0374,0.0000,0.0000,0.1035,0.0001,200,6.4031
0.1429,0.0373,0.0000,0.0001,0.1054,0.0001,200,6.4032
0.1476,0.0239,0.0000,0.0001,0.1235,0.0001,200,6.4031
0.1503,0.0223,0.0000,0.0001,0.1278,0.0001,200,6.4032
0.1218,0.0341,0.0000,0.0001,0.0875,0.0001,200,6.6031
0.1322,0.0358,0.0001,0.0000,0.0962,0.0001,200,6.6031
0.1451,0.0493,0.0000,0.0001,0.0956,0.0001,200,6.6030
0.1497,0.0510,0.0000,0.0001,0.0985,0.0001,200,6.6032
0.1536,0.0712,0.0000,0.0001,0.0821,0.0001,200,6.6032
0.1419,0.0219,0.0000,0.0001,0.1198,0.0001,200,6.8030
0.1426,0.0360,0.0000,0.0000,0.1063,0.0002,200,6.8029
0.1515,0.0219,0.0000,0.0001,0.1294,0.0001,200,6.8031
0.1547,0.0415,0.0000,0.0000,0.1130,0.0001,200,6.8031
0.1574,0.0358,0.0000,0.0000,0.1213,0.0001,200,6.8029
0.1495,0.0474,0.0000,0.0000,0.1019,0.0001,200,7.0032
0.1552,0.0302,0.0000,0.0001,0.1248,0.0001,200,7.0031
0.1585,0.0322,0.0000,0.0001,0.1260,0.0002,200,7.0030
0.1671,0.0489,0.0000,0.0000,0.1181,0.0001,200,7.0032
0.1701,0.0531,0.0000,0.0001,0.1168,0.0001,200,7.0032
0.1505,0.0286,0.0000,0.0001,0.1216,0.0001,200,7.2030
0.1504,0.0474,0.0000,0.0001,0.1029,0.0001,200,7.2032
0.1547,0.0544,0.0000,0.0001,0.1001,0.0001,200,7.2031
0.1573,0.0489,0.0000,0.0001,0.1082,0.0001,200,7.2031
0.1605,0.0269,0.0000,0.0000,0.1333,0.0001,200,7.2032
0.1096,0.0218,0.0000,0.0001,0.0876,0.0001,200,7.4031
0.1139,0.0375,0.0000,0.0001,0.0762,0.0001,200,7.4031
0.1633,0.0563,0.0001,0.0001,0.1068,0.0001,200,7.4031
0.1696,0.0374,0.0000,0.0001,0.1320,0.0001,200,7.4031
0.1717,0.0753,0.0001,0.0000,0.0963,0.0001,200,7.4030
0.1311,0.0221,0.0001,0.0000,0.1089,0.0001,200,7.6030
0.1360,0.0361,0.0000,0.0000,0.0997,0.0001,200,7.6029
0.1359,0.0222,0.0000,0.0001,0.1135,0.0001,200,7.6031
0.1431,0.0554,0.0000,0.0000,0.0875,0.0001,200,7.6030
0.1472,0.0360,0.0000,0.0001,0.1110,0.0001,200,7.6031
0.0896,0.0217,0.0000,0.0001,0.0678,0.0001,200,7.8032
0.1510,0.0234,0.0000,0.0000,0.1274,0.0001,200,7.8030
0.1547,0.0460,0.0000,0.0001,0.1086,0.0001,200,7.8031
0.1551,0.0236,0.0000,0.0000,0.1311,0.0003,200,7.8032
0.1612,0.0460,0.0000,0.0001,0.1149,0.0001,200,7.8031
0.0863,0.0221,0.0000,0.0001,0.0639,0.0001,200,8.0031
0.1474,0.0415,0.0000,0.0001,0.1057,0.0001,200,8.0032
0.1481,0.0226,0.0000,0.0000,0.1253,0.0001,200,8.0030
0.1522,0.0417,0.0000,0.0001,0.1103,0.0001,200,8.0032
0.1555,0.0220,0.0000,0.0001,0.1333,0.0001,200,8.0031
0.1419,0.0228,0.0001,0.0001,0.1189,0.0001,200,8.2028
0.1432,0.0242,0.0000,0.0000,0.1188,0.0001,200,8.2030
0.1544,0.0258,0.0000,0.0001,0.1284,0.0001,200,8.2029
0.1557,0.0428,0.0001,0.0000,0.1128,0.0001,200,8.2029
0.1593,0.0529,0.0000,0.0000,0.1062,0.0001,200,8.2030
0.1415,0.0373,0.0000,0.0000,0.1040,0.0001,200,8.4031
0.1450,0.0373,0.0000,0.0000,0.1075,0.0001,200,8.4032
0.1493,0.0355,0.0001,0.0000,0.1136,0.0001,200,8.4032
0.1514,0.0563,0.0000,0.0001,0.0949,0.0001,200,8.4031
0.1568,0.0376,0.0000,0.0000,0.1190,0.0001,200,8.4030
0.1389,0.0367,0.0001,0.0001,0.1020,0.0001,200,8.6030
0.1409,0.0223,0.0001,0.0001,0.1184,0.0001,200,8.6031
0.1489,0.0222,0.0000,0.0001,0.1265,0.0001,200,8.6031
0.1490,0.0586,0.0000,0.0001,0.0903,0.0001,200,8.6031
0.1575,0.0368,0.0000,0.0001,0.1205,0.0002,200,8.6031
0.1580,0.0324,0.0000,0.0001,0.1254,0.0001,200,8.8032
0.1636,0.0525,0.0000,0.0001,0.1109,0.0002,200,8.8031
0.1641,0.0407,0.0000,0.0001,0.1232,0.0001,200,8.8032
0.1727,0.0212,0.0000,0.0000,0.1512,0.0001,200,8.8031
0.1729,0.0323,0.0000,0.0001,0.1403,0.0001,200,8.8031
0.1468,0.0219,0.0000,0.0001,0.1247,0.0001,200,9.0031
0.1485,0.0364,0.0000,0.0000,0.1118,0.0001,200,9.0030
0.1509,0.0327,0.0001,0.0001,0.1179,0.0001,200,9.0030
0.1535,0.0220,0.0000,0.0000,0.1313,0.0001,200,9.0031
0.1583,0.0379,0.0000,0.0001,0.1202,0.0001,200,9.0032
0.1412,0.0275,0.0000,0.0001,0.1135,0.0001,200,9.2031
0.1582,0.0453,0.0000,0.0000,0.1126,0.0001,200,9.2031
0.1584,0.0454,0.0000,0.0000,0.1128,0.0002,200,9.2031
0.1613,0.0274,0.0001,0.0001,0.1336,0.0001,200,9.2030
0.1616,0.0526,0.0000,0.0001,0.1089,0.0001,200,9.2031
0.1998,0.0843,0.0000,0.0001,0.1153,0.0001,200,9.4030
0.2048,0.0827,0.0000,0.0001,0.1217,0.0003,200,9.4030
0.2057,0.0571,0.0000,0.0000,0.1484,0.0002,200,9.4030
0.2327,0.1064,0.0000,0.0001,0.1261,0.0001,200,9.4031
0.2329,0.0591,0.0000,0.0001,0.1736,0.0001,200,9.4029
0.1423,0.0326,0.0000,0.0001,0.1095,0.0001,200,9.6029
0.1137,0.0228,0.0000,0.0001,0.0907,0.0001,200,9.6358
0.1151,0.0283,0.0001,0.0000,0.0867,0.0001,200,9.6358
0.1444,0.0338,0.0000,0.0000,0.1105,0.0001,200,9.6078
0.1458,0.0216,0.0000,0.0000,0.1240,0.0001,200,9.6087
0.1433,0.0264,0.0000,0.0000,0.1167,0.0001,200,9.8031
0.1445,0.0282,0.0000,0.0001,0.1162,0.0001,200,9.8030
0.1506,0.0567,0.0000,0.0001,0.0937,0.0001,200,9.8032
0.1559,0.0361,0.0000,0.0000,0.1197,0.0001,200,9.8031
0.1566,0.0358,0.0000,0.0000,0.1206,0.0001,200,9.8032
0.1123,0.0215,0.0001,0.0000,0.0906,0.0001,200,10.0030
0.1162,0.0367,0.0000,0.0001,0.0793,0.0001,200,10.0030
0.1645,0.0366,0.0000,0.0001,0.1276,0.0001,200,10.0030
0.1688,0.0757,0.0000,0.0001,0.0930,0.0001,200,10.0030
0.1730,0.0554,0.0000,0.0000,0.1175,0.0001,200,10.0029
0.1405,0.0421,0.0000,0.0001,0.0982,0.0001,200,10.2031
0.1442,0.0220,0.0000,0.0001,0.1221,0.0001,200,10.2031
0.1447,0.0280,0.0000,0.0000,0.1165,0.0002,200,10.2031
0.1474,0.0388,0.0001,0.0000,0.1084,0.0002,200,10.2030
0.1475,0.0220,0.0000,0.0001,0.1253,0.0001,200,10.2031
0.1373,0.0217,0.0000,0.0001,0.1154,0.0001,200,10.4031
0.1398,0.0234,0.0000,0.0001,0.1162,0.0001,200,10.4031
0.1423,0.0236,0.0000,0.0001,0.1185,0.0001,200,10.4031
0.1446,0.0235,0.0000,0.0000,0.1209,0.0001,200,10.4031
0.1469,0.0422,0.0001,0.0000,0.1045,0.0001,200,10.4030
0.1499,0.0219,0.0000,0.0001,0.1278,0.0001,200,10.6030
0.1535,0.0351,0.0000,0.0001,0.1182,0.0001,200,10.6031
0.1587,0.0555,0.0000,0.0001,0.1030,0.0001,200,10.6032
0.1593,0.0367,0.0001,0.0001,0.1224,0.0001,200,10.6031
0.1634,0.0406,0.0000,0.0001,0.1227,0.0001,200,10.6032
0.1047,0.0248,0.0000,0.0000,0.0798,0.0001,200,10.8031
0.1173,0.0410,0.0000,0.0001,0.0761,0.0001,200,10.8031
0.1709,0.0627,0.0000,0.0001,0.1080,0.0001,200,10.8031
0.1714,0.0411,0.0000,0.0001,0.1302,0.0001,200,10.8030
0.1783,0.0824,0.0000,0.0001,0.0956,0.0002,200,10.8031
0.1419,0.0376,0.0000,0.0001,0.1042,0.0001,200,11.0031
0.1442,0.0376,0.0000,0.0000,0.1065,0.0001,200,11.0032
0.1541,0.0360,0.0000,0.0001,0.1179,0.0001,200,11.0031
0.1562,0.0223,0.0000,0.0000,0.1337,0.0001,200,11.0031
0.1633,0.0377,0.0001,0.0000,0.1254,0.0001,200,11.0030
