response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0477,0.0401,0.0005,0.0001,0.0072,0.0001,200,0.2037
0.0494,0.0416,0.0002,0.0001,0.0070,0.0002,200,0.2037
0.0709,0.0660,0.0007,0.0001,0.0047,0.0001,200,0.2037
0.0952,0.0646,0.0005,0.0000,0.0302,0.0001,200,0.2038
0.0963,0.0920,0.0006,0.0001,0.0041,0.0001,200,0.2037
0.0403,0.0347,0.0000,0.0001,0.0054,0.0001,200,0.4038
0.0585,0.0539,0.0000,0.0000,0.0044,0.0001,200,0.4038
0.0597,0.0556,0.0000,0.0000,0.0039,0.0002,200,0.4038
0.0615,0.0567,0.0001,0.0001,0.0045,0.0002,200,0.4038
0.0616,0.0565,0.0000,0.0001,0.0048,0.0002,200,0.4039
0.0331,0.0275,0.0000,0.0001,0.0053,0.0002,200,0.6038
0.0338,0.0292,0.0000,0.0001,0.0042,0.0002,200,0.6037
0.0517,0.0469,0.0000,0.0001,0.0045,0.0002,200,0.6037
0.0752,0.0450,0.0000,0.0001,0.0300,0.0001,200,0.6038
0.0766,0.0727,0.0001,0.0001,0.0037,0.0001,200,0.6038
0.0552,0.0487,0.0000,0.0000,0.0063,0.0001,200,0.8037
0.0579,0.0514,0.0001,0.0001,0.0063,0.0001,200,0.8036
0.0578,0.0513,0.0000,0.0000,0.0064,0.0001,200,0.8037
0.0766,0.0504,0.0000,0.0000,0.0260,0.0001,200,0.8036
0.0783,0.0742,0.0000,0.0001,0.0038,0.0002,200,0.8036
0.0335,0.0284,0.0001,0.0001,0.0047,0.0003,200,1.0038
0.0339,0.0283,0.0000,0.0001,0.0053,0.0002,200,1.0038
0.0342,0.0274,0.0000,0.0001,0.0064,0.0003,200,1.0039
0.0574,0.0293,0.0001,0.0001,0.0280,0.0001,200,1.0039
0.0586,0.0545,0.0001,0.0000,0.0039,0.0001,200,1.0039
0.0386,0.0312,0.0000,0.0000,0.0072,0.0001,200,1.2038
0.0388,0.0315,0.0001,0.0001,0.0064,0.0008,200,1.2037
0.0423,0.0374,0.0001,0.0000,0.0048,0.0001,200,1.2037
0.0557,0.0505,0.0000,0.0001,0.0050,0.0002,200,1.2038
0.0572,0.0522,0.0000,0.0000,0.0048,0.0002,200,1.2037
0.0453,0.0398,0.0001,0.0000,0.0051,0.0002,200,1.4039
0.0643,0.0594,0.0000,0.0001,0.0044,0.0003,200,1.4038
0.0648,0.0592,0.0000,0.0001,0.0053,0.0002,200,1.4038
0.0716,0.0397,0.0000,0.0001,0.0317,0.0001,200,1.4039
0.0731,0.0685,0.0000,0.0001,0.0044,0.0001,200,1.4038
0.0426,0.0346,0.0000,0.0001,0.0076,0.0003,200,1.6038
0.0438,0.0361,0.0000,0.0000,0.0074,0.0002,200,1.6038
0.0462,0.0401,0.0000,0.0000,0.0059,0.0002,200,1.6039
0.0617,0.0568,0.0001,0.0001,0.0048,0.0001,200,1.6037
0.0617,0.0569,0.0000,0.0000,0.0046,0.0001,200,1.6038
0.0838,0.0505,0.0000,0.0000,0.0331,0.0001,200,1.8038
0.0863,0.0820,0.0001,0.0001,0.0041,0.0001,200,1.8038
0.1063,0.0524,0.0000,0.0001,0.0537,0.0001,200,1.8038
0.1066,0.0802,0.0000,0.0001,0.0262,0.0001,200,1.8038
0.1079,0.1035,0.0001,0.0000,0.0041,0.0001,200,1.8038
0.0478,0.0395,0.0000,0.0001,0.0080,0.0002,200,2.0038
0.0483,0.0414,0.0001,0.0000,0.0067,0.0001,200,2.0038
0.0967,0.0413,0.0000,0.0000,0.0551,0.0002,200,2.0038
0.0971,0.0708,0.0001,0.0001,0.0261,0.0001,200,2.0039
0.0984,0.0942,0.0000,0.0001,0.0041,0.0001,200,2.0038
0.0376,0.0304,0.0001,0.0001,0.0069,0.0002,200,2.2038
