response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0507,0.0400,0.0001,0.0001,0.0079,0.0025,200,0.2030
0.0747,0.0657,0.0004,0.0001,0.0070,0.0018,200,0.2028
0.0745,0.0656,0.0003,0.0001,0.0070,0.0017,200,0.2029
0.0746,0.0666,0.0003,0.0001,0.0060,0.0018,200,0.2029
0.0753,0.0666,0.0004,0.0001,0.0077,0.0009,200,0.2028
0.0511,0.0394,0.0000,0.0000,0.0094,0.0022,200,0.4029
0.0522,0.0410,0.0000,0.0001,0.0093,0.0018,200,0.4029
0.0701,0.0637,0.0000,0.0001,0.0048,0.0016,200,0.4028
0.0971,0.0653,0.0000,0.0000,0.0300,0.0017,200,0.4029
0.0990,0.0921,0.0000,0.0000,0.0052,0.0015,200,0.4029
0.0461,0.0397,0.0000,0.0001,0.0051,0.0011,200,0.6030
0.0763,0.0420,0.0001,0.0001,0.0329,0.0014,200,0.6029
0.0764,0.0677,0.0001,0.0001,0.0077,0.0010,200,0.6029
0.0777,0.0416,0.0000,0.0001,0.0339,0.0022,200,0.6028
0.0795,0.0694,0.0000,0.0001,0.0091,0.0010,200,0.6029
0.0441,0.0378,0.0000,0.0001,0.0049,0.0012,200,0.8027
0.0466,0.0420,0.0001,0.0001,0.0039,0.0006,200,0.8028
0.0477,0.0219,0.0000,0.0001,0.0235,0.0021,200,0.8027
0.0623,0.0359,0.0000,0.0001,0.0250,0.0013,200,0.8028
0.0638,0.0589,0.0000,0.0001,0.0036,0.0012,200,0.8028
0.0512,0.0248,0.0000,0.0001,0.0253,0.0010,200,1.0029
0.0525,0.0468,0.0000,0.0001,0.0048,0.0009,200,1.0029
0.0762,0.0264,0.0000,0.0001,0.0483,0.0014,200,1.0029
0.0777,0.0483,0.0000,0.0001,0.0282,0.0011,200,1.0029
0.0791,0.0714,0.0000,0.0001,0.0065,0.0011,200,1.0028
0.0329,0.0246,0.0001,0.0001,0.0063,0.0019,200,1.2028
0.0334,0.0267,0.0001,0.0001,0.0053,0.0013,200,1.2028
0.0335,0.0269,0.0000,0.0000,0.0053,0.0012,200,1.2028
0.0573,0.0244,0.0000,0.0000,0.0320,0.0008,200,1.2029
0.0588,0.0540,0.0000,0.0000,0.0038,0.0009,200,1.2029
0.0386,0.0320,0.0000,0.0001,0.0048,0.0018,200,1.4029
0.0526,0.0475,0.0000,0.0000,0.0039,0.0012,200,1.4029
0.0526,0.0458,0.0000,0.0001,0.0053,0.0014,200,1.4030
0.0640,0.0302,0.0000,0.0001,0.0319,0.0018,200,1.4028
0.0659,0.0589,0.0001,0.0001,0.0054,0.0014,200,1.4028
0.0445,0.0349,0.0000,0.0000,0.0079,0.0016,200,1.6028
0.0456,0.0363,0.0000,0.0000,0.0075,0.0017,200,1.6029
0.0462,0.0365,0.0001,0.0001,0.0063,0.0034,200,1.6029
0.0659,0.0581,0.0000,0.0000,0.0068,0.0010,200,1.6028
0.0662,0.0580,0.0000,0.0001,0.0066,0.0015,200,1.6029
0.0495,0.0401,0.0000,0.0000,0.0075,0.0019,200,1.8029
0.0511,0.0417,0.0000,0.0001,0.0075,0.0018,200,1.8028
0.0660,0.0601,0.0001,0.0000,0.0047,0.0010,200,1.8028
0.0906,0.0585,0.0000,0.0000,0.0308,0.0012,200,1.8029
0.0916,0.0868,0.0000,0.0001,0.0041,0.0007,200,1.8029
0.0418,0.0346,0.0000,0.0001,0.0056,0.0015,200,2.0029
0.0424,0.0346,0.0000,0.0001,0.0055,0.0022,200,2.0029
0.0445,0.0362,0.0000,0.0000,0.0069,0.0014,200,2.0029
0.0614,0.0547,0.0000,0.0001,0.0051,0.0015,200,2.0029
0.0630,0.0567,0.0000,0.0000,0.0047,0.0015,200,2.0028
0.0468,0.0394,0.0000,0.0000,0.0054,0.0019,200,2.2029
0.0476,0.0410,0.0001,0.0000,0.0049,0.0017,200,2.2028
0.0684,0.0621,0.0000,0.0001,0.0045,0.0016,200,2.2028
0.0920,0.0605,0.0000,0.0000,0.0301,0.0014,200,2.2029
0.0936,0.0882,0.0000,0.0000,0.0043,0.0011,200,2.2028
0.0501,0.0415,0.0001,0.0001,0.0066,0.0018,200,2.4028
0.0776,0.0390,0.0000,0.0001,0.0365,0.0020,200,2.4028
0.0791,0.0416,0.0000,0.0001,0.0360,0.0014,200,2.4026
0.0791,0.0719,0.0000,0.0001,0.0056,0.0015,200,2.4027
0.0827,0.0735,0.0000,0.0000,0.0077,0.0014,200,2.4028
0.0451,0.0359,0.0000,0.0000,0.0077,0.0014,200,2.6028
0.0628,0.0566,0.0000,0.0001,0.0048,0.0014,200,2.6028
0.0652,0.0581,0.0000,0.0001,0.0054,0.0015,200,2.6029
0.0721,0.0343,0.0000,0.0000,0.0366,0.0011,200,2.6029
0.0734,0.0676,0.0000,0.0001,0.0048,0.0009,200,2.6028
0.0511,0.0413,0.0000,0.0001,0.0088,0.0008,200,2.8028
0.0576,0.0500,0.0000,0.0001,0.0052,0.0023,200,2.8029
0.0602,0.0516,0.0000,0.0000,0.0069,0.0016,200,2.8028
0.0801,0.0397,0.0001,0.0001,0.0387,0.0016,200,2.8029
0.0817,0.0753,0.0000,0.0000,0.0052,0.0013,200,2.8029
0.0471,0.0381,0.0001,0.0001,0.0069,0.0021,200,3.0029
0.1185,0.0366,0.0000,0.0001,0.0804,0.0014,200,3.0028
0.1198,0.0932,0.0000,0.0001,0.0238,0.0028,200,3.0029
0.1213,0.0692,0.0000,0.0000,0.0509,0.0011,200,3.0029
0.1227,0.1134,0.0000,0.0001,0.0080,0.0011,200,3.0029
0.0490,0.0393,0.0000,0.0001,0.0078,0.0018,200,3.2030
0.0734,0.0645,0.0000,0.0001,0.0061,0.0027,200,3.2028
0.0737,0.0644,0.0000,0.0001,0.0063,0.0030,200,3.2029
0.0779,0.0408,0.0000,0.0000,0.0356,0.0014,200,3.2029
0.0795,0.0731,0.0000,0.0000,0.0050,0.0013,200,3.2029
0.0485,0.0405,0.0001,0.0001,0.0063,0.0016,200,3.4029
0.0719,0.0633,0.0000,0.0000,0.0068,0.0017,200,3.4028
0.0719,0.0632,0.0000,0.0001,0.0068,0.0018,200,3.4028
0.0788,0.0389,0.0000,0.0001,0.0379,0.0019,200,3.4027
0.0807,0.0715,0.0000,0.0001,0.0075,0.0016,200,3.4029
0.0289,0.0226,0.0000,0.0000,0.0049,0.0014,200,3.6027
0.0303,0.0240,0.0000,0.0001,0.0052,0.0010,200,3.6029
0.0466,0.0414,0.0000,0.0001,0.0039,0.0012,200,3.6028
0.0706,0.0414,0.0000,0.0001,0.0279,0.0012,200,3.6028
0.0718,0.0664,0.0000,0.0000,0.0044,0.0010,200,3.6029
0.0454,0.0382,0.0000,0.0001,0.0059,0.0012,200,3.8028
0.0594,0.0515,0.0001,0.0000,0.0062,0.0016,200,3.8028
0.0600,0.0530,0.0000,0.0001,0.0051,0.0018,200,3.8029
0.0674,0.0307,0.0000,0.0000,0.0350,0.0016,200,3.8029
0.0691,0.0625,0.0000,0.0001,0.0052,0.0013,200,3.8029
0.0439,0.0349,0.0002,0.0000,0.0074,0.0015,200,4.0028
0.0465,0.0361,0.0000,0.0001,0.0082,0.0021,200,4.0028
0.0469,0.0361,0.0000,0.0000,0.0085,0.0022,200,4.0029
0.0634,0.0563,0.0000,0.0000,0.0058,0.0013,200,4.0029
0.0636,0.0561,0.0000,0.0000,0.0058,0.0016,200,4.0030
0.0731,0.0656,0.0000,0.0001,0.0066,0.0008,200,4.2029
0.0772,0.0395,0.0000,0.0000,0.0361,0.0015,200,4.2029
0.0792,0.0723,0.0000,0.0001,0.0053,0.0015,200,4.2028
0.0960,0.0656,0.0000,0.0001,0.0291,0.0012,200,4.2028
0.0973,0.0924,0.0000,0.0001,0.0037,0.0010,200,4.2028
0.0434,0.0344,0.0000,0.0001,0.0073,0.0016,200,4.4029
0.0537,0.0471,0.0000,0.0001,0.0050,0.0015,200,4.4029
0.0569,0.0490,0.0001,0.0000,0.0059,0.0019,200,4.4028
0.0719,0.0341,0.0000,0.0001,0.0362,0.0015,200,4.4028
0.0733,0.0663,0.0000,0.0000,0.0057,0.0012,200,4.4029
0.0374,0.0306,0.0000,0.0001,0.0054,0.0014,200,4.6029
0.0564,0.0501,0.0000,0.0001,0.0047,0.0015,200,4.6029
0.0582,0.0516,0.0000,0.0001,0.0051,0.0014,200,4.6030
0.0649,0.0303,0.0000,0.0001,0.0323,0.0022,200,4.6028
0.0675,0.0594,0.0000,0.0000,0.0058,0.0022,200,4.6029
0.0438,0.0342,0.0000,0.0001,0.0070,0.0025,200,4.8027
0.0451,0.0358,0.0001,0.0000,0.0070,0.0023,200,4.8027
0.0460,0.0359,0.0000,0.0001,0.0080,0.0019,200,4.8027
0.0649,0.0584,0.0000,0.0000,0.0046,0.0017,200,4.8029
0.0667,0.0600,0.0000,0.0000,0.0052,0.0014,200,4.8028
0.0480,0.0395,0.0000,0.0001,0.0068,0.0017,200,5.0028
0.0865,0.0535,0.0000,0.0001,0.0314,0.0015,200,5.0028
0.0870,0.0552,0.0000,0.0000,0.0303,0.0014,200,5.0027
