response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0460,0.0400,0.0002,0.0001,0.0056,0.0002,200,0.2034
0.0461,0.0399,0.0001,0.0001,0.0059,0.0001,200,0.2034
0.0684,0.0640,0.0004,0.0001,0.0041,0.0001,200,0.2033
0.0940,0.0656,0.0003,0.0001,0.0280,0.0001,200,0.2033
0.0951,0.0916,0.0004,0.0001,0.0032,0.0001,200,0.2033
0.0450,0.0397,0.0000,0.0001,0.0051,0.0001,200,0.4034
0.0455,0.0397,0.0000,0.0001,0.0056,0.0001,200,0.4033
0.0459,0.0414,0.0000,0.0001,0.0043,0.0001,200,0.4033
0.0638,0.0603,0.0000,0.0000,0.0034,0.0001,200,0.4034
0.0649,0.0619,0.0000,0.0000,0.0029,0.0000,200,0.4034
0.0287,0.0247,0.0001,0.0001,0.0038,0.0001,200,0.6033
0.0392,0.0350,0.0001,0.0001,0.0040,0.0001,200,0.6034
0.0405,0.0367,0.0000,0.0001,0.0037,0.0001,200,0.6033
0.0508,0.0249,0.0000,0.0001,0.0256,0.0001,200,0.6033
0.0522,0.0482,0.0000,0.0001,0.0038,0.0001,200,0.6034
0.0335,0.0292,0.0001,0.0001,0.0041,0.0001,200,0.8034
0.0641,0.0364,0.0000,0.0001,0.0276,0.0001,200,0.8033
0.0779,0.0312,0.0000,0.0001,0.0465,0.0001,200,0.8033
0.0781,0.0552,0.0000,0.0001,0.0227,0.0001,200,0.8034
0.0795,0.0758,0.0001,0.0001,0.0035,0.0001,200,0.8033
0.0258,0.0215,0.0000,0.0001,0.0040,0.0001,200,1.0032
0.0265,0.0230,0.0000,0.0000,0.0033,0.0001,200,1.0034
0.0411,0.0375,0.0000,0.0000,0.0035,0.0001,200,1.0034
0.0596,0.0359,0.0000,0.0000,0.0235,0.0001,200,1.0033
0.0612,0.0581,0.0001,0.0000,0.0029,0.0001,200,1.0033
0.0326,0.0272,0.0000,0.0001,0.0052,0.0001,200,1.2033
0.0330,0.0287,0.0000,0.0001,0.0041,0.0001,200,1.2034
0.0330,0.0288,0.0000,0.0000,0.0040,0.0001,200,1.2034
0.0511,0.0475,0.0000,0.0000,0.0035,0.0001,200,1.2033
0.0513,0.0476,0.0000,0.0001,0.0036,0.0001,200,1.2033
0.0397,0.0346,0.0001,0.0001,0.0050,0.0001,200,1.4034
0.0608,0.0572,0.0001,0.0001,0.0032,0.0001,200,1.4033
0.0621,0.0586,0.0000,0.0001,0.0033,0.0001,200,1.4034
0.0627,0.0596,0.0000,0.0001,0.0029,0.0001,200,1.4033
0.0630,0.0596,0.0000,0.0001,0.0032,0.0001,200,1.4033
0.0370,0.0323,0.0000,0.0000,0.0045,0.0001,200,1.6033
0.0541,0.0502,0.0000,0.0000,0.0038,0.0001,200,1.6033
0.0558,0.0517,0.0000,0.0000,0.0039,0.0001,200,1.6033
0.0611,0.0303,0.0000,0.0001,0.0305,0.0001,200,1.6034
0.0629,0.0591,0.0000,0.0000,0.0036,0.0001,200,1.6034
0.0400,0.0340,0.0000,0.0000,0.0058,0.0001,200,1.8033
0.0405,0.0355,0.0000,0.0000,0.0048,0.0001,200,1.8033
0.0621,0.0580,0.0001,0.0000,0.0039,0.0001,200,1.8033
0.0866,0.0564,0.0000,0.0000,0.0301,0.0001,200,1.8033
0.0877,0.0841,0.0000,0.0000,0.0034,0.0001,200,1.8033
0.0408,0.0355,0.0000,0.0000,0.0051,0.0001,200,2.0032
0.1069,0.0619,0.0000,0.0000,0.0448,0.0001,200,2.0034
0.1073,0.0339,0.0000,0.0000,0.0732,0.0001,200,2.0033
0.1077,0.0846,0.0000,0.0000,0.0229,0.0001,200,2.0033
0.1082,0.1049,0.0000,0.0001,0.0032,0.0001,200,2.0034
0.0380,0.0330,0.0000,0.0000,0.0049,0.0001,200,2.2033
0.0381,0.0332,0.0001,0.0000,0.0047,0.0000,200,2.2033
0.0872,0.0313,0.0000,0.0001,0.0557,0.0001,200,2.2033
0.0875,0.0633,0.0000,0.0001,0.0240,0.0001,200,2.2034
0.0887,0.0853,0.0000,0.0000,0.0032,0.0001,200,2.2033
0.0318,0.0259,0.0000,0.0001,0.0057,0.0001,200,2.4032
