response-time,status-code,test_name,batch
0.1508,200,fuzzysearch,wasm
0.1523,200,fuzzysearch,wasm
0.1542,200,fuzzysearch,wasm
0.1587,200,fuzzysearch,wasm
0.1594,200,fuzzysearch,wasm
0.1424,200,fuzzysearch,wasm
0.1585,200,fuzzysearch,wasm
0.1659,200,fuzzysearch,wasm
0.1728,200,fuzzysearch,wasm
0.1758,200,fuzzysearch,wasm
0.1656,200,fuzzysearch,wasm
0.1757,200,fuzzysearch,wasm
0.181,200,fuzzysearch,wasm
0.1842,200,fuzzysearch,wasm
0.1848,200,fuzzysearch,wasm
0.187,200,fuzzysearch,wasm
0.1995,200,fuzzysearch,wasm
0.2042,200,fuzzysearch,wasm
0.2226,200,fuzzysearch,wasm
0.2228,200,fuzzysearch,wasm
0.1076,200,fuzzysearch,wasm
0.1101,200,fuzzysearch,wasm
0.1312,200,fuzzysearch,wasm
0.1416,200,fuzzysearch,wasm
0.1626,200,fuzzysearch,wasm
0.1631,200,fuzzysearch,wasm
0.1692,200,fuzzysearch,wasm
0.1722,200,fuzzysearch,wasm
0.1818,200,fuzzysearch,wasm
0.1894,200,fuzzysearch,wasm
0.2279,200,fuzzysearch,wasm
0.2283,200,fuzzysearch,wasm
0.2302,200,fuzzysearch,wasm
0.2371,200,fuzzysearch,wasm
0.2427,200,fuzzysearch,wasm
0.1205,200,fuzzysearch,wasm
0.1359,200,fuzzysearch,wasm
0.1585,200,fuzzysearch,wasm
0.1707,200,fuzzysearch,wasm
0.1683,200,fuzzysearch,wasm
0.1712,200,fuzzysearch,wasm
0.1759,200,fuzzysearch,wasm
0.1829,200,fuzzysearch,wasm
0.1784,200,fuzzysearch,wasm
0.1843,200,fuzzysearch,wasm
0.1615,200,fuzzysearch,wasm
0.1642,200,fuzzysearch,wasm
0.1685,200,fuzzysearch,wasm
0.1983,200,fuzzysearch,wasm
0.2015,200,fuzzysearch,wasm
0.1748,200,fuzzysearch,wasm
0.1801,200,fuzzysearch,wasm
0.1804,200,fuzzysearch,wasm
0.1898,200,fuzzysearch,wasm
0.1888,200,fuzzysearch,wasm
0.1651,200,fuzzysearch,wasm
0.1657,200,fuzzysearch,wasm
0.1691,200,fuzzysearch,wasm
0.1739,200,fuzzysearch,wasm
0.1784,200,fuzzysearch,wasm
0.183,200,fuzzysearch,wasm
0.1856,200,fuzzysearch,wasm
0.1874,200,fuzzysearch,wasm
0.1917,200,fuzzysearch,wasm
0.1928,200,fuzzysearch,wasm
0.1417,200,fuzzysearch,wasm
0.1563,200,fuzzysearch,wasm
0.1692,200,fuzzysearch,wasm
0.1755,200,fuzzysearch,wasm
0.1828,200,fuzzysearch,wasm
0.1326,200,fuzzysearch,wasm
0.1391,200,fuzzysearch,wasm
0.1957,200,fuzzysearch,wasm
0.2005,200,fuzzysearch,wasm
0.2421,200,fuzzysearch,wasm
0.1556,200,fuzzysearch,wasm
0.1633,200,fuzzysearch,wasm
0.1247,200,fuzzysearch,wasm
0.175,200,fuzzysearch,wasm
0.1839,200,fuzzysearch,wasm
0.1526,200,fuzzysearch,wasm
0.1583,200,fuzzysearch,wasm
0.1733,200,fuzzysearch,wasm
0.1759,200,fuzzysearch,wasm
0.1786,200,fuzzysearch,wasm
0.1487,200,fuzzysearch,wasm
0.1638,200,fuzzysearch,wasm
0.1644,200,fuzzysearch,wasm
0.1672,200,fuzzysearch,wasm
0.1696,200,fuzzysearch,wasm
0.1726,200,fuzzysearch,wasm
0.1871,200,fuzzysearch,wasm
0.1884,200,fuzzysearch,wasm
0.1896,200,fuzzysearch,wasm
0.1956,200,fuzzysearch,wasm
0.193,200,fuzzysearch,wasm
0.1959,200,fuzzysearch,wasm
0.1963,200,fuzzysearch,wasm
0.2034,200,fuzzysearch,wasm
0.2504,200,fuzzysearch,wasm
0.1828,200,fuzzysearch,wasm
0.1901,200,fuzzysearch,wasm
0.2044,200,fuzzysearch,wasm
0.209,200,fuzzysearch,wasm
0.1793,200,fuzzysearch,wasm
0.1298,200,fuzzysearch,wasm
0.1489,200,fuzzysearch,wasm
0.1633,200,fuzzysearch,wasm
0.175,200,fuzzysearch,wasm
0.1527,200,fuzzysearch,wasm
0.1622,200,fuzzysearch,wasm
0.1626,200,fuzzysearch,wasm
0.169,200,fuzzysearch,wasm
0.1712,200,fuzzysearch,wasm
0.1739,200,fuzzysearch,wasm
0.1664,200,fuzzysearch,wasm
0.1683,200,fuzzysearch,wasm
0.1754,200,fuzzysearch,wasm
0.1912,200,fuzzysearch,wasm
0.1954,200,fuzzysearch,wasm
0.1312,200,fuzzysearch,wasm
0.1647,200,fuzzysearch,wasm
0.1734,200,fuzzysearch,wasm
0.1794,200,fuzzysearch,wasm
0.184,200,fuzzysearch,wasm
0.1858,200,fuzzysearch,wasm
0.1881,200,fuzzysearch,wasm
0.1938,200,fuzzysearch,wasm
0.2026,200,fuzzysearch,wasm
0.207,200,fuzzysearch,wasm
0.1508,200,fuzzysearch,wasm
0.1564,200,fuzzysearch,wasm
