response-time,status-code,test_name,batch
0.0607,200,linear-equations,wasm
0.0609,200,linear-equations,wasm
0.0749,200,linear-equations,wasm
0.1084,200,linear-equations,wasm
0.1101,200,linear-equations,wasm
0.0584,200,linear-equations,wasm
0.0683,200,linear-equations,wasm
0.0683,200,linear-equations,wasm
0.0906,200,linear-equations,wasm
0.1017,200,linear-equations,wasm
0.0598,200,linear-equations,wasm
0.0828,200,linear-equations,wasm
0.0846,200,linear-equations,wasm
0.1003,200,linear-equations,wasm
0.1017,200,linear-equations,wasm
0.0463,200,linear-equations,wasm
0.0555,200,linear-equations,wasm
0.0686,200,linear-equations,wasm
0.096,200,linear-equations,wasm
0.0981,200,linear-equations,wasm
0.06,200,linear-equations,wasm
0.0756,200,linear-equations,wasm
0.115,200,linear-equations,wasm
0.127,200,linear-equations,wasm
0.1272,200,linear-equations,wasm
0.0464,200,linear-equations,wasm
0.064,200,linear-equations,wasm
0.0642,200,linear-equations,wasm
0.0782,200,linear-equations,wasm
0.0891,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0621,200,linear-equations,wasm
0.0622,200,linear-equations,wasm
0.0759,200,linear-equations,wasm
0.0874,200,linear-equations,wasm
0.0467,200,linear-equations,wasm
0.0674,200,linear-equations,wasm
0.0775,200,linear-equations,wasm
0.0837,200,linear-equations,wasm
0.0837,200,linear-equations,wasm
0.0551,200,linear-equations,wasm
0.0809,200,linear-equations,wasm
0.09,200,linear-equations,wasm
0.095,200,linear-equations,wasm
0.0954,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.061,200,linear-equations,wasm
0.0754,200,linear-equations,wasm
0.0968,200,linear-equations,wasm
0.1078,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0609,200,linear-equations,wasm
0.0745,200,linear-equations,wasm
0.1008,200,linear-equations,wasm
0.1119,200,linear-equations,wasm
0.0446,200,linear-equations,wasm
0.0539,200,linear-equations,wasm
0.0655,200,linear-equations,wasm
0.0921,200,linear-equations,wasm
0.1027,200,linear-equations,wasm
0.0449,200,linear-equations,wasm
0.0677,200,linear-equations,wasm
0.0678,200,linear-equations,wasm
0.0729,200,linear-equations,wasm
0.077,200,linear-equations,wasm
0.06,200,linear-equations,wasm
0.0702,200,linear-equations,wasm
0.0762,200,linear-equations,wasm
0.0933,200,linear-equations,wasm
0.1038,200,linear-equations,wasm
0.073,200,linear-equations,wasm
0.0875,200,linear-equations,wasm
0.0877,200,linear-equations,wasm
0.0997,200,linear-equations,wasm
0.1106,200,linear-equations,wasm
0.0479,200,linear-equations,wasm
0.0603,200,linear-equations,wasm
0.0606,200,linear-equations,wasm
0.0608,200,linear-equations,wasm
0.0717,200,linear-equations,wasm
0.0532,200,linear-equations,wasm
0.0749,200,linear-equations,wasm
0.0877,200,linear-equations,wasm
0.0878,200,linear-equations,wasm
0.0881,200,linear-equations,wasm
0.047,200,linear-equations,wasm
0.0476,200,linear-equations,wasm
0.0482,200,linear-equations,wasm
0.0753,200,linear-equations,wasm
0.0864,200,linear-equations,wasm
0.0591,200,linear-equations,wasm
0.069,200,linear-equations,wasm
0.0753,200,linear-equations,wasm
0.088,200,linear-equations,wasm
0.099,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0739,200,linear-equations,wasm
0.1222,200,linear-equations,wasm
0.1428,200,linear-equations,wasm
0.1429,200,linear-equations,wasm
0.0462,200,linear-equations,wasm
0.0639,200,linear-equations,wasm
0.0641,200,linear-equations,wasm
0.0779,200,linear-equations,wasm
0.0887,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0813,200,linear-equations,wasm
0.0831,200,linear-equations,wasm
0.0831,200,linear-equations,wasm
0.0923,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0616,200,linear-equations,wasm
0.0618,200,linear-equations,wasm
0.0878,200,linear-equations,wasm
0.1001,200,linear-equations,wasm
0.0635,200,linear-equations,wasm
0.0635,200,linear-equations,wasm
0.0739,200,linear-equations,wasm
0.0981,200,linear-equations,wasm
0.1078,200,linear-equations,wasm
0.0763,200,linear-equations,wasm
0.0848,200,linear-equations,wasm
0.0901,200,linear-equations,wasm
0.1066,200,linear-equations,wasm
0.1176,200,linear-equations,wasm
0.0487,200,linear-equations,wasm
0.0719,200,linear-equations,wasm
0.0832,200,linear-equations,wasm
0.0904,200,linear-equations,wasm
0.0907,200,linear-equations,wasm
0.0394,200,linear-equations,wasm
0.0487,200,linear-equations,wasm
0.0553,200,linear-equations,wasm
0.0735,200,linear-equations,wasm
0.0844,200,linear-equations,wasm
0.0478,200,linear-equations,wasm
0.0788,200,linear-equations,wasm
0.0931,200,linear-equations,wasm
0.1002,200,linear-equations,wasm
0.1006,200,linear-equations,wasm
0.0526,200,linear-equations,wasm
0.0528,200,linear-equations,wasm
0.1068,200,linear-equations,wasm
0.1187,200,linear-equations,wasm
0.1188,200,linear-equations,wasm
0.0577,200,linear-equations,wasm
0.0664,200,linear-equations,wasm
0.0743,200,linear-equations,wasm
0.09,200,linear-equations,wasm
0.1009,200,linear-equations,wasm
0.0399,200,linear-equations,wasm
0.0467,200,linear-equations,wasm
0.0502,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0529,200,linear-equations,wasm
0.0452,200,linear-equations,wasm
0.0742,200,linear-equations,wasm
0.0881,200,linear-equations,wasm
0.0942,200,linear-equations,wasm
0.0944,200,linear-equations,wasm
0.0536,200,linear-equations,wasm
0.0821,200,linear-equations,wasm
0.0937,200,linear-equations,wasm
0.1012,200,linear-equations,wasm
0.1016,200,linear-equations,wasm
0.0583,200,linear-equations,wasm
0.1301,200,linear-equations,wasm
0.144,200,linear-equations,wasm
0.151,200,linear-equations,wasm
0.1511,200,linear-equations,wasm
0.0607,200,linear-equations,wasm
0.0704,200,linear-equations,wasm
0.0706,200,linear-equations,wasm
0.0986,200,linear-equations,wasm
0.1093,200,linear-equations,wasm
0.0449,200,linear-equations,wasm
0.0554,200,linear-equations,wasm
0.0558,200,linear-equations,wasm
0.069,200,linear-equations,wasm
0.0801,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0621,200,linear-equations,wasm
0.069,200,linear-equations,wasm
0.0888,200,linear-equations,wasm
0.0996,200,linear-equations,wasm
0.0524,200,linear-equations,wasm
0.0622,200,linear-equations,wasm
0.0708,200,linear-equations,wasm
0.0964,200,linear-equations,wasm
0.1073,200,linear-equations,wasm
0.0368,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0595,200,linear-equations,wasm
0.0607,200,linear-equations,wasm
0.0532,200,linear-equations,wasm
0.0633,200,linear-equations,wasm
0.0634,200,linear-equations,wasm
0.0842,200,linear-equations,wasm
0.0937,200,linear-equations,wasm
0.0604,200,linear-equations,wasm
0.0848,200,linear-equations,wasm
0.0981,200,linear-equations,wasm
0.0982,200,linear-equations,wasm
0.0984,200,linear-equations,wasm
0.0461,200,linear-equations,wasm
0.0673,200,linear-equations,wasm
0.0817,200,linear-equations,wasm
0.0892,200,linear-equations,wasm
0.0894,200,linear-equations,wasm
0.0529,200,linear-equations,wasm
0.0823,200,linear-equations,wasm
0.0923,200,linear-equations,wasm
0.0926,200,linear-equations,wasm
0.0928,200,linear-equations,wasm
0.0457,200,linear-equations,wasm
0.0638,200,linear-equations,wasm
0.0645,200,linear-equations,wasm
0.0703,200,linear-equations,wasm
0.0707,200,linear-equations,wasm
0.052,200,linear-equations,wasm
0.0693,200,linear-equations,wasm
0.0798,200,linear-equations,wasm
0.0918,200,linear-equations,wasm
0.0921,200,linear-equations,wasm
0.0584,200,linear-equations,wasm
0.0685,200,linear-equations,wasm
0.0747,200,linear-equations,wasm
0.0932,200,linear-equations,wasm
0.1028,200,linear-equations,wasm
0.0399,200,linear-equations,wasm
0.0536,200,linear-equations,wasm
0.1025,200,linear-equations,wasm
0.1228,200,linear-equations,wasm
0.1229,200,linear-equations,wasm
0.0472,200,linear-equations,wasm
0.0573,200,linear-equations,wasm
0.0633,200,linear-equations,wasm
0.0809,200,linear-equations,wasm
0.0913,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0822,200,linear-equations,wasm
0.0955,200,linear-equations,wasm
0.0955,200,linear-equations,wasm
0.0959,200,linear-equations,wasm
0.0528,200,linear-equations,wasm
0.0617,200,linear-equations,wasm
0.0729,200,linear-equations,wasm
0.0944,200,linear-equations,wasm
0.1034,200,linear-equations,wasm
0.0556,200,linear-equations,wasm
0.0679,200,linear-equations,wasm
0.0679,200,linear-equations,wasm
0.0975,200,linear-equations,wasm
0.1085,200,linear-equations,wasm
0.0598,200,linear-equations,wasm
0.0693,200,linear-equations,wasm
0.0799,200,linear-equations,wasm
0.092,200,linear-equations,wasm
0.0923,200,linear-equations,wasm
0.0459,200,linear-equations,wasm
0.055,200,linear-equations,wasm
0.0981,200,linear-equations,wasm
0.11,200,linear-equations,wasm
0.1103,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0576,200,linear-equations,wasm
0.0582,200,linear-equations,wasm
0.0736,200,linear-equations,wasm
0.074,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0706,200,linear-equations,wasm
0.0708,200,linear-equations,wasm
0.0782,200,linear-equations,wasm
0.0784,200,linear-equations,wasm
0.0723,200,linear-equations,wasm
0.0859,200,linear-equations,wasm
0.0977,200,linear-equations,wasm
0.1053,200,linear-equations,wasm
0.1055,200,linear-equations,wasm
0.0521,200,linear-equations,wasm
0.0807,200,linear-equations,wasm
0.0904,200,linear-equations,wasm
0.0908,200,linear-equations,wasm
0.0914,200,linear-equations,wasm
0.0411,200,linear-equations,wasm
0.0677,200,linear-equations,wasm
0.0806,200,linear-equations,wasm
0.0808,200,linear-equations,wasm
0.0809,200,linear-equations,wasm
0.0396,200,linear-equations,wasm
0.0606,200,linear-equations,wasm
0.0723,200,linear-equations,wasm
0.0726,200,linear-equations,wasm
0.0728,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0615,200,linear-equations,wasm
0.0737,200,linear-equations,wasm
0.1009,200,linear-equations,wasm
0.1118,200,linear-equations,wasm
0.0842,200,linear-equations,wasm
0.0968,200,linear-equations,wasm
0.1151,200,linear-equations,wasm
0.1276,200,linear-equations,wasm
0.1278,200,linear-equations,wasm
0.057,200,linear-equations,wasm
0.0803,200,linear-equations,wasm
0.0924,200,linear-equations,wasm
0.0993,200,linear-equations,wasm
0.0998,200,linear-equations,wasm
0.0355,200,linear-equations,wasm
0.0436,200,linear-equations,wasm
0.044,200,linear-equations,wasm
0.0624,200,linear-equations,wasm
0.0734,200,linear-equations,wasm
0.0443,200,linear-equations,wasm
0.0671,200,linear-equations,wasm
0.1158,200,linear-equations,wasm
0.126,200,linear-equations,wasm
0.1261,200,linear-equations,wasm
0.0426,200,linear-equations,wasm
0.0483,200,linear-equations,wasm
0.0491,200,linear-equations,wasm
0.0678,200,linear-equations,wasm
0.0787,200,linear-equations,wasm
0.0606,200,linear-equations,wasm
0.0842,200,linear-equations,wasm
0.0953,200,linear-equations,wasm
0.1027,200,linear-equations,wasm
0.1027,200,linear-equations,wasm
0.0465,200,linear-equations,wasm
0.0704,200,linear-equations,wasm
0.0739,200,linear-equations,wasm
0.081,200,linear-equations,wasm
0.082,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0614,200,linear-equations,wasm
0.0751,200,linear-equations,wasm
0.1012,200,linear-equations,wasm
0.1107,200,linear-equations,wasm
0.0455,200,linear-equations,wasm
0.0548,200,linear-equations,wasm
0.0684,200,linear-equations,wasm
0.0935,200,linear-equations,wasm
0.1044,200,linear-equations,wasm
0.0341,200,linear-equations,wasm
0.0439,200,linear-equations,wasm
0.0765,200,linear-equations,wasm
0.0883,200,linear-equations,wasm
0.0883,200,linear-equations,wasm
0.0395,200,linear-equations,wasm
0.05,200,linear-equations,wasm
0.0501,200,linear-equations,wasm
0.0706,200,linear-equations,wasm
0.0815,200,linear-equations,wasm
0.0532,200,linear-equations,wasm
0.0742,200,linear-equations,wasm
0.0884,200,linear-equations,wasm
0.0957,200,linear-equations,wasm
0.0961,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0621,200,linear-equations,wasm
0.062,200,linear-equations,wasm
0.0761,200,linear-equations,wasm
0.0871,200,linear-equations,wasm
0.0566,200,linear-equations,wasm
0.0667,200,linear-equations,wasm
0.073,200,linear-equations,wasm
0.0881,200,linear-equations,wasm
0.0991,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.062,200,linear-equations,wasm
0.0706,200,linear-equations,wasm
0.0827,200,linear-equations,wasm
0.0912,200,linear-equations,wasm
0.0528,200,linear-equations,wasm
0.0821,200,linear-equations,wasm
0.0958,200,linear-equations,wasm
0.0963,200,linear-equations,wasm
0.0966,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0618,200,linear-equations,wasm
0.0706,200,linear-equations,wasm
0.0943,200,linear-equations,wasm
0.1056,200,linear-equations,wasm
0.0577,200,linear-equations,wasm
0.0674,200,linear-equations,wasm
0.0716,200,linear-equations,wasm
0.0904,200,linear-equations,wasm
0.1013,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0607,200,linear-equations,wasm
0.0756,200,linear-equations,wasm
0.1012,200,linear-equations,wasm
0.1121,200,linear-equations,wasm
0.0586,200,linear-equations,wasm
0.0839,200,linear-equations,wasm
