response-time,status-code,test_name,batch
0.0473,200,matmul,wasm
0.0523,200,matmul,wasm
0.0552,200,matmul,wasm
0.0716,200,matmul,wasm
0.0744,200,matmul,wasm
0.053,200,matmul,wasm
0.0713,200,matmul,wasm
0.0913,200,matmul,wasm
0.0916,200,matmul,wasm
0.0925,200,matmul,wasm
0.0526,200,matmul,wasm
0.0669,200,matmul,wasm
0.0799,200,matmul,wasm
0.097,200,matmul,wasm
0.0971,200,matmul,wasm
0.0594,200,matmul,wasm
0.0605,200,matmul,wasm
0.0607,200,matmul,wasm
0.0867,200,matmul,wasm
0.1029,200,matmul,wasm
0.0571,200,matmul,wasm
0.0967,200,matmul,wasm
0.1184,200,matmul,wasm
0.1304,200,matmul,wasm
0.1306,200,matmul,wasm
0.0588,200,matmul,wasm
0.0772,200,matmul,wasm
0.095,200,matmul,wasm
0.0961,200,matmul,wasm
0.0964,200,matmul,wasm
0.0551,200,matmul,wasm
0.0729,200,matmul,wasm
0.0892,200,matmul,wasm
0.0899,200,matmul,wasm
0.09,200,matmul,wasm
0.0579,200,matmul,wasm
0.0584,200,matmul,wasm
0.0614,200,matmul,wasm
0.077,200,matmul,wasm
0.0777,200,matmul,wasm
0.0585,200,matmul,wasm
0.1339,200,matmul,wasm
0.1539,200,matmul,wasm
0.1551,200,matmul,wasm
0.1562,200,matmul,wasm
0.0406,200,matmul,wasm
0.0527,200,matmul,wasm
0.0633,200,matmul,wasm
0.0811,200,matmul,wasm
0.0948,200,matmul,wasm
0.0581,200,matmul,wasm
0.0804,200,matmul,wasm
0.0803,200,matmul,wasm
0.0814,200,matmul,wasm
0.0952,200,matmul,wasm
0.0455,200,matmul,wasm
0.0677,200,matmul,wasm
0.0878,200,matmul,wasm
0.0883,200,matmul,wasm
0.0888,200,matmul,wasm
0.0582,200,matmul,wasm
0.0727,200,matmul,wasm
0.086,200,matmul,wasm
0.1072,200,matmul,wasm
0.1223,200,matmul,wasm
0.0567,200,matmul,wasm
0.0755,200,matmul,wasm
0.0931,200,matmul,wasm
0.104,200,matmul,wasm
0.1051,200,matmul,wasm
0.0588,200,matmul,wasm
0.0745,200,matmul,wasm
0.0746,200,matmul,wasm
0.099,200,matmul,wasm
0.115,200,matmul,wasm
0.06,200,matmul,wasm
0.0698,200,matmul,wasm
0.1215,200,matmul,wasm
0.1403,200,matmul,wasm
0.141,200,matmul,wasm
0.0578,200,matmul,wasm
0.0713,200,matmul,wasm
0.0835,200,matmul,wasm
0.1046,200,matmul,wasm
