response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0467,0.0279,0.0003,0.0001,0.0129,0.0057,200,0.2027
0.0676,0.0469,0.0003,0.0001,0.0159,0.0045,200,0.2026
0.0730,0.0455,0.0004,0.0001,0.0210,0.0062,200,0.2026
0.0853,0.0278,0.0001,0.0001,0.0485,0.0088,200,0.2027
0.0862,0.0579,0.0004,0.0001,0.0214,0.0067,200,0.2027
0.0469,0.0275,0.0000,0.0001,0.0146,0.0047,200,0.4026
0.0475,0.0270,0.0001,0.0000,0.0152,0.0053,200,0.4027
0.0635,0.0288,0.0001,0.0000,0.0303,0.0044,200,0.4026
0.0824,0.0491,0.0000,0.0001,0.0297,0.0035,200,0.4026
0.0826,0.0474,0.0000,0.0001,0.0304,0.0047,200,0.4027
0.0551,0.0342,0.0000,0.0001,0.0158,0.0050,200,0.6025
0.0740,0.0535,0.0000,0.0001,0.0148,0.0056,200,0.6026
0.0764,0.0563,0.0001,0.0001,0.0151,0.0050,200,0.6025
0.0919,0.0341,0.0000,0.0001,0.0488,0.0089,200,0.6026
0.0948,0.0667,0.0000,0.0001,0.0193,0.0087,200,0.6026
0.0643,0.0393,0.0001,0.0001,0.0175,0.0074,200,0.8026
0.0760,0.0411,0.0001,0.0001,0.0297,0.0051,200,0.8025
0.0870,0.0657,0.0000,0.0001,0.0172,0.0040,200,0.8027
0.1079,0.0641,0.0000,0.0000,0.0414,0.0023,200,0.8026
0.1241,0.0913,0.0001,0.0001,0.0291,0.0037,200,0.8027
0.0811,0.0345,0.0000,0.0000,0.0418,0.0047,200,1.0027
0.0936,0.0663,0.0000,0.0001,0.0214,0.0059,200,1.0026
0.1102,0.0343,0.0000,0.0000,0.0707,0.0050,200,1.0027
0.1282,0.0893,0.0000,0.0000,0.0302,0.0086,200,1.0027
0.1285,0.0645,0.0000,0.0001,0.0578,0.0061,200,1.0027
0.0489,0.0305,0.0000,0.0001,0.0145,0.0038,200,1.2025
0.0726,0.0504,0.0000,0.0001,0.0171,0.0050,200,1.2025
0.0738,0.0517,0.0000,0.0001,0.0177,0.0044,200,1.2024
0.0846,0.0513,0.0000,0.0001,0.0284,0.0047,200,1.2025
0.0895,0.0503,0.0000,0.0001,0.0338,0.0053,200,1.2025
0.0560,0.0356,0.0000,0.0001,0.0160,0.0044,200,1.4026
0.0768,0.0566,0.0000,0.0000,0.0149,0.0052,200,1.4026
0.0914,0.0341,0.0000,0.0001,0.0531,0.0041,200,1.4025
0.0920,0.0582,0.0000,0.0001,0.0298,0.0039,200,1.4027
0.0942,0.0647,0.0000,0.0000,0.0268,0.0027,200,1.4026
0.0799,0.0355,0.0001,0.0000,0.0403,0.0041,200,1.6027
0.0909,0.0659,0.0001,0.0000,0.0207,0.0042,200,1.6027
0.1060,0.0338,0.0000,0.0001,0.0684,0.0037,200,1.6026
0.1209,0.0886,0.0000,0.0001,0.0290,0.0032,200,1.6027
