response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0441,0.0413,0.0005,0.0001,0.0026,0.0001,200,0.2025
0.0759,0.0410,0.0002,0.0001,0.0345,0.0001,200,0.2026
0.0760,0.0399,0.0004,0.0001,0.0358,0.0001,200,0.2026
0.0769,0.0731,0.0003,0.0001,0.0035,0.0000,200,0.2026
0.0778,0.0748,0.0004,0.0001,0.0027,0.0001,200,0.2026
0.0419,0.0394,0.0000,0.0001,0.0023,0.0001,200,0.4026
0.0663,0.0641,0.0001,0.0000,0.0021,0.0001,200,0.4026
0.0684,0.0658,0.0000,0.0000,0.0024,0.0001,200,0.4026
0.0896,0.0576,0.0001,0.0001,0.0319,0.0001,200,0.4027
0.0913,0.0886,0.0001,0.0001,0.0025,0.0001,200,0.4027
0.0371,0.0340,0.0000,0.0001,0.0029,0.0001,200,0.6025
0.0393,0.0357,0.0000,0.0001,0.0035,0.0001,200,0.6026
0.0394,0.0356,0.0000,0.0000,0.0036,0.0001,200,0.6027
0.0616,0.0591,0.0000,0.0001,0.0023,0.0001,200,0.6026
0.0634,0.0608,0.0001,0.0001,0.0024,0.0001,200,0.6026
0.0227,0.0212,0.0000,0.0000,0.0015,0.0000,200,0.8026
0.0374,0.0353,0.0000,0.0001,0.0019,0.0001,200,0.8027
0.0390,0.0368,0.0001,0.0000,0.0020,0.0001,200,0.8027
0.0450,0.0212,0.0000,0.0000,0.0236,0.0001,200,0.8026
0.0466,0.0441,0.0000,0.0001,0.0023,0.0001,200,0.8026
0.0321,0.0302,0.0000,0.0000,0.0017,0.0002,200,1.0026
0.0527,0.0504,0.0000,0.0000,0.0022,0.0001,200,1.0026
0.0540,0.0521,0.0000,0.0001,0.0017,0.0000,200,1.0025
0.0557,0.0520,0.0001,0.0001,0.0035,0.0001,200,1.0026
0.0558,0.0522,0.0000,0.0000,0.0035,0.0000,200,1.0026
0.0361,0.0339,0.0000,0.0000,0.0021,0.0001,200,1.2026
0.0594,0.0573,0.0001,0.0001,0.0019,0.0001,200,1.2026
0.0622,0.0581,0.0001,0.0001,0.0039,0.0001,200,1.2026
0.0622,0.0582,0.0001,0.0001,0.0039,0.0001,200,1.2027
0.0627,0.0590,0.0000,0.0000,0.0036,0.0001,200,1.2025
0.0360,0.0339,0.0000,0.0001,0.0020,0.0001,200,1.4025
0.0386,0.0355,0.0001,0.0001,0.0029,0.0001,200,1.4026
0.0387,0.0353,0.0000,0.0000,0.0032,0.0001,200,1.4026
0.0587,0.0565,0.0001,0.0001,0.0020,0.0001,200,1.4025
0.0604,0.0580,0.0000,0.0001,0.0023,0.0001,200,1.4026
0.0362,0.0340,0.0000,0.0001,0.0020,0.0001,200,1.6027
0.0377,0.0357,0.0001,0.0000,0.0018,0.0001,200,1.6026
0.0387,0.0367,0.0001,0.0001,0.0019,0.0001,200,1.6027
0.0659,0.0367,0.0000,0.0001,0.0290,0.0001,200,1.6027
0.0673,0.0651,0.0001,0.0001,0.0020,0.0001,200,1.6026
0.0678,0.0645,0.0000,0.0001,0.0031,0.0001,200,1.8026
0.0681,0.0645,0.0001,0.0000,0.0034,0.0001,200,1.8026
0.0689,0.0663,0.0000,0.0001,0.0025,0.0001,200,1.8026
0.0930,0.0660,0.0000,0.0001,0.0268,0.0001,200,1.8026
0.0949,0.0925,0.0000,0.0001,0.0022,0.0000,200,1.8027
0.0412,0.0390,0.0000,0.0001,0.0020,0.0001,200,2.0027
0.0428,0.0406,0.0000,0.0001,0.0021,0.0000,200,2.0026
0.0444,0.0409,0.0000,0.0000,0.0033,0.0001,200,2.0026
0.0716,0.0411,0.0000,0.0000,0.0304,0.0001,200,2.0027
0.0738,0.0715,0.0001,0.0001,0.0021,0.0001,200,2.0026
0.0363,0.0341,0.0000,0.0000,0.0020,0.0001,200,2.2025
0.0378,0.0355,0.0000,0.0000,0.0021,0.0001,200,2.2026
0.0593,0.0574,0.0000,0.0000,0.0017,0.0001,200,2.2026
0.0836,0.0573,0.0001,0.0001,0.0261,0.0001,200,2.2026
0.0855,0.0831,0.0001,0.0001,0.0022,0.0001,200,2.2026
0.0320,0.0301,0.0001,0.0001,0.0018,0.0001,200,2.4027
0.0331,0.0311,0.0000,0.0001,0.0019,0.0001,200,2.4026
0.0344,0.0319,0.0000,0.0001,0.0023,0.0001,200,2.4026
0.0584,0.0310,0.0000,0.0001,0.0271,0.0001,200,2.4026
0.0604,0.0578,0.0000,0.0001,0.0023,0.0001,200,2.4027
0.0341,0.0320,0.0000,0.0001,0.0019,0.0001,200,2.6026
0.0526,0.0504,0.0001,0.0001,0.0020,0.0001,200,2.6026
0.0543,0.0520,0.0001,0.0001,0.0021,0.0001,200,2.6026
0.0601,0.0301,0.0000,0.0001,0.0298,0.0001,200,2.6026
0.0618,0.0591,0.0000,0.0001,0.0025,0.0001,200,2.6027
0.0410,0.0385,0.0000,0.0001,0.0023,0.0001,200,2.8026
0.0421,0.0399,0.0001,0.0001,0.0019,0.0001,200,2.8026
0.0435,0.0411,0.0000,0.0001,0.0022,0.0001,200,2.8027
0.0717,0.0410,0.0001,0.0001,0.0305,0.0001,200,2.8027
0.0731,0.0708,0.0001,0.0000,0.0022,0.0001,200,2.8026
0.0297,0.0279,0.0001,0.0001,0.0017,0.0001,200,3.0026
0.0306,0.0279,0.0000,0.0000,0.0025,0.0001,200,3.0026
0.0474,0.0451,0.0000,0.0001,0.0020,0.0001,200,3.0026
0.0732,0.0468,0.0001,0.0000,0.0262,0.0001,200,3.0026
0.0747,0.0727,0.0000,0.0001,0.0018,0.0001,200,3.0026
0.0378,0.0355,0.0000,0.0000,0.0022,0.0001,200,3.2026
0.0592,0.0572,0.0000,0.0001,0.0019,0.0001,200,3.2026
0.0602,0.0574,0.0000,0.0000,0.0027,0.0001,200,3.2026
0.0655,0.0340,0.0000,0.0001,0.0313,0.0001,200,3.2025
0.0666,0.0644,0.0000,0.0001,0.0020,0.0001,200,3.2026
0.0432,0.0408,0.0000,0.0000,0.0022,0.0001,200,3.4024
0.0723,0.0391,0.0000,0.0000,0.0330,0.0001,200,3.4025
0.0732,0.0406,0.0000,0.0001,0.0324,0.0001,200,3.4026
0.0740,0.0720,0.0000,0.0001,0.0018,0.0001,200,3.4025
0.0760,0.0737,0.0000,0.0001,0.0021,0.0001,200,3.4026
0.0334,0.0315,0.0000,0.0001,0.0018,0.0001,200,3.6026
0.0520,0.0501,0.0000,0.0001,0.0017,0.0001,200,3.6026
0.0537,0.0516,0.0000,0.0000,0.0018,0.0001,200,3.6027
0.0589,0.0298,0.0000,0.0001,0.0289,0.0001,200,3.6026
0.0605,0.0577,0.0000,0.0000,0.0026,0.0001,200,3.6026
0.0416,0.0391,0.0000,0.0001,0.0023,0.0000,200,3.8024
0.0430,0.0394,0.0000,0.0000,0.0035,0.0001,200,3.8024
0.0443,0.0407,0.0002,0.0000,0.0033,0.0001,200,3.8025
0.0664,0.0642,0.0000,0.0001,0.0021,0.0001,200,3.8025
0.0681,0.0657,0.0000,0.0001,0.0022,0.0001,200,3.8025
0.0368,0.0342,0.0000,0.0001,0.0025,0.0001,200,4.0026
0.0384,0.0358,0.0001,0.0001,0.0024,0.0001,200,4.0027
0.0400,0.0362,0.0000,0.0001,0.0036,0.0001,200,4.0027
0.0687,0.0357,0.0000,0.0000,0.0328,0.0001,200,4.0026
0.0700,0.0678,0.0001,0.0001,0.0020,0.0001,200,4.0026
0.0416,0.0392,0.0000,0.0001,0.0023,0.0001,200,4.2026
0.0661,0.0641,0.0001,0.0000,0.0018,0.0001,200,4.2026
0.0676,0.0656,0.0000,0.0001,0.0018,0.0001,200,4.2027
0.0728,0.0407,0.0000,0.0001,0.0319,0.0001,200,4.2027
0.0745,0.0718,0.0000,0.0001,0.0026,0.0001,200,4.2027
