response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1508,0.0277,0.0004,0.0001,0.1229,0.0001,200,0.2036
0.1523,0.0373,0.0004,0.0001,0.1147,0.0001,200,0.2035
0.1542,0.0261,0.0002,0.0001,0.1277,0.0001,200,0.2036
0.1587,0.0422,0.0004,0.0000,0.1162,0.0001,200,0.2035
0.1594,0.0422,0.0004,0.0000,0.1168,0.0001,200,0.2035
0.1424,0.0320,0.0001,0.0000,0.1102,0.0001,200,0.4035
0.1585,0.0361,0.0000,0.0001,0.1221,0.0001,200,0.4036
0.1659,0.0528,0.0000,0.0001,0.1129,0.0001,200,0.4036
0.1728,0.0750,0.0000,0.0001,0.0976,0.0001,200,0.4035
0.1758,0.0513,0.0000,0.0000,0.1243,0.0001,200,0.4036
0.1656,0.0467,0.0000,0.0000,0.1189,0.0001,200,0.6036
0.1757,0.0452,0.0000,0.0001,0.1304,0.0001,200,0.6035
0.1810,0.0468,0.0001,0.0001,0.1340,0.0001,200,0.6036
0.1842,0.0262,0.0000,0.0001,0.1579,0.0001,200,0.6036
0.1848,0.0467,0.0000,0.0001,0.1379,0.0001,200,0.6036
0.1870,0.0603,0.0000,0.0001,0.1266,0.0001,200,0.8035
0.1995,0.0354,0.0000,0.0000,0.1639,0.0001,200,0.8036
0.2042,0.0356,0.0000,0.0000,0.1685,0.0001,200,0.8036
0.2226,0.0619,0.0000,0.0001,0.1606,0.0001,200,0.8036
0.2228,0.0339,0.0000,0.0001,0.1887,0.0001,200,0.8034
0.1076,0.0226,0.0000,0.0001,0.0849,0.0001,200,1.0035
0.1101,0.0241,0.0000,0.0000,0.0858,0.0001,200,1.0035
0.1312,0.0386,0.0000,0.0000,0.0925,0.0001,200,1.0263
0.1416,0.0369,0.0000,0.0000,0.1045,0.0001,200,1.0262
0.1626,0.0229,0.0000,0.0001,0.1396,0.0001,200,1.0078
0.1631,0.0380,0.0001,0.0001,0.1249,0.0001,200,1.2036
0.1692,0.0380,0.0000,0.0001,0.1310,0.0001,200,1.2036
0.1722,0.0678,0.0000,0.0000,0.1043,0.0001,200,1.2036
0.1818,0.0365,0.0001,0.0001,0.1452,0.0001,200,1.2036
0.1894,0.0384,0.0000,0.0000,0.1509,0.0001,200,1.2035
0.2279,0.0488,0.0000,0.0001,0.1789,0.0001,200,1.4035
0.2283,0.0490,0.0001,0.0000,0.1793,0.0001,200,1.4035
0.2302,0.0568,0.0000,0.0000,0.1732,0.0001,200,1.4036
0.2371,0.0311,0.0000,0.0001,0.2058,0.0001,200,1.4036
0.2427,0.0312,0.0000,0.0001,0.2113,0.0001,200,1.4035
0.1205,0.0300,0.0000,0.0001,0.0903,0.0001,200,1.6314
0.1359,0.0228,0.0000,0.0000,0.1129,0.0001,200,1.6319
0.1585,0.0464,0.0000,0.0001,0.1119,0.0001,200,1.6338
0.1707,0.0343,0.0000,0.0001,0.1362,0.0001,200,1.6407
0.1683,0.0625,0.0000,0.0000,0.1056,0.0001,200,1.6462
0.1712,0.0387,0.0000,0.0000,0.1323,0.0001,200,1.8036
0.1759,0.0371,0.0000,0.0000,0.1386,0.0001,200,1.8036
0.1829,0.0224,0.0000,0.0001,0.1604,0.0001,200,1.8035
0.1784,0.0214,0.0000,0.0000,0.1569,0.0001,200,1.8145
0.1843,0.0522,0.0000,0.0000,0.1320,0.0001,200,1.8114
0.1615,0.0462,0.0000,0.0001,0.1151,0.0001,200,2.0035
0.1642,0.0460,0.0000,0.0001,0.1181,0.0001,200,2.0035
0.1685,0.0525,0.0000,0.0000,0.1159,0.0001,200,2.0036
0.1983,0.0740,0.0000,0.0001,0.1241,0.0001,200,2.0036
