response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0473,0.0276,0.0001,0.0001,0.0183,0.0011,200,0.2037
0.0523,0.0336,0.0005,0.0001,0.0175,0.0012,200,0.2036
0.0552,0.0358,0.0003,0.0000,0.0186,0.0006,200,0.2036
0.0716,0.0542,0.0002,0.0001,0.0164,0.0007,200,0.2037
0.0744,0.0562,0.0004,0.0001,0.0170,0.0011,200,0.2036
0.0530,0.0353,0.0001,0.0001,0.0165,0.0011,200,0.4036
0.0713,0.0543,0.0000,0.0001,0.0158,0.0012,200,0.4035
0.0913,0.0337,0.0000,0.0001,0.0567,0.0009,200,0.4036
0.0916,0.0542,0.0000,0.0000,0.0360,0.0013,200,0.4036
0.0925,0.0649,0.0001,0.0000,0.0267,0.0008,200,0.4036
0.0526,0.0340,0.0000,0.0000,0.0176,0.0009,200,0.6036
0.0669,0.0357,0.0000,0.0001,0.0304,0.0008,200,0.6036
0.0799,0.0510,0.0001,0.0001,0.0282,0.0007,200,0.6036
0.0970,0.0781,0.0000,0.0001,0.0177,0.0011,200,0.6036
0.0971,0.0510,0.0000,0.0001,0.0454,0.0006,200,0.6036
0.0594,0.0319,0.0000,0.0001,0.0268,0.0008,200,0.8036
0.0605,0.0321,0.0001,0.0001,0.0274,0.0009,200,0.8036
0.0607,0.0316,0.0000,0.0001,0.0284,0.0007,200,0.8036
0.0867,0.0301,0.0001,0.0001,0.0559,0.0007,200,0.8036
0.1029,0.0695,0.0000,0.0001,0.0326,0.0007,200,0.8036
0.0571,0.0396,0.0000,0.0001,0.0166,0.0008,200,1.0037
0.0967,0.0517,0.0000,0.0001,0.0441,0.0009,200,1.0036
0.1184,0.0808,0.0000,0.0001,0.0365,0.0011,200,1.0036
0.1304,0.0790,0.0001,0.0000,0.0505,0.0008,200,1.0036
0.1306,0.0517,0.0000,0.0001,0.0780,0.0009,200,1.0037
0.0588,0.0395,0.0000,0.0000,0.0186,0.0006,200,1.2034
0.0772,0.0582,0.0001,0.0001,0.0177,0.0013,200,1.2034
0.0950,0.0635,0.0000,0.0001,0.0307,0.0007,200,1.2035
0.0961,0.0597,0.0001,0.0000,0.0356,0.0008,200,1.2034
0.0964,0.0636,0.0000,0.0000,0.0318,0.0009,200,1.2034
0.0551,0.0339,0.0000,0.0001,0.0200,0.0011,200,1.4037
0.0729,0.0567,0.0000,0.0000,0.0156,0.0006,200,1.4036
0.0892,0.0568,0.0001,0.0001,0.0315,0.0008,200,1.4036
0.0899,0.0358,0.0000,0.0001,0.0535,0.0005,200,1.4036
0.0900,0.0680,0.0001,0.0000,0.0206,0.0013,200,1.4037
0.0579,0.0303,0.0000,0.0000,0.0264,0.0011,200,1.6036
0.0584,0.0305,0.0000,0.0000,0.0266,0.0012,200,1.6036
0.0614,0.0427,0.0000,0.0001,0.0171,0.0016,200,1.6037
0.0770,0.0521,0.0001,0.0001,0.0237,0.0012,200,1.6036
0.0777,0.0484,0.0001,0.0001,0.0282,0.0011,200,1.6036
0.0585,0.0407,0.0001,0.0001,0.0170,0.0007,200,1.8036
0.1339,0.0391,0.0000,0.0000,0.0939,0.0008,200,1.8036
0.1539,0.0734,0.0000,0.0000,0.0797,0.0008,200,1.8036
0.1551,0.1169,0.0001,0.0001,0.0373,0.0008,200,1.8036
