response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0437,0.0401,0.0004,0.0001,0.0034,0.0001,200,0.2038
0.0630,0.0593,0.0005,0.0001,0.0034,0.0001,200,0.2036
0.1109,0.0575,0.0002,0.0001,0.0530,0.0001,200,0.2037
0.1112,0.0862,0.0005,0.0001,0.0248,0.0001,200,0.2036
0.1128,0.1081,0.0003,0.0000,0.0044,0.0001,200,0.2037
0.0298,0.0271,0.0000,0.0001,0.0025,0.0001,200,0.4037
0.0475,0.0450,0.0000,0.0001,0.0024,0.0001,200,0.4038
0.0492,0.0468,0.0001,0.0001,0.0022,0.0000,200,0.4036
0.0535,0.0291,0.0001,0.0001,0.0242,0.0001,200,0.4036
0.0549,0.0523,0.0000,0.0001,0.0024,0.0001,200,0.4037
0.0530,0.0504,0.0000,0.0001,0.0024,0.0001,200,0.6037
0.0585,0.0301,0.0000,0.0000,0.0282,0.0001,200,0.6037
0.0601,0.0577,0.0000,0.0000,0.0023,0.0001,200,0.6037
0.0789,0.0520,0.0000,0.0000,0.0268,0.0001,200,0.6037
0.0807,0.0781,0.0000,0.0001,0.0026,0.0000,200,0.6036
0.0330,0.0303,0.0000,0.0001,0.0025,0.0001,200,0.8037
0.0349,0.0321,0.0000,0.0001,0.0026,0.0001,200,0.8036
0.0364,0.0321,0.0000,0.0001,0.0041,0.0001,200,0.8037
0.0532,0.0501,0.0001,0.0000,0.0029,0.0001,200,0.8036
0.0549,0.0519,0.0001,0.0001,0.0029,0.0001,200,0.8036
0.0371,0.0343,0.0000,0.0001,0.0027,0.0001,200,1.0037
0.0391,0.0360,0.0001,0.0001,0.0029,0.0001,200,1.0037
0.0613,0.0588,0.0000,0.0000,0.0025,0.0001,200,1.0037
0.0850,0.0570,0.0000,0.0001,0.0278,0.0001,200,1.0038
0.0874,0.0840,0.0000,0.0001,0.0032,0.0001,200,1.0036
0.0436,0.0395,0.0000,0.0000,0.0040,0.0001,200,1.2036
0.0674,0.0639,0.0000,0.0000,0.0033,0.0001,200,1.2037
0.0696,0.0655,0.0000,0.0000,0.0040,0.0001,200,1.2037
0.0757,0.0394,0.0000,0.0001,0.0361,0.0001,200,1.2036
0.0779,0.0741,0.0001,0.0001,0.0037,0.0001,200,1.2036
0.0441,0.0408,0.0000,0.0000,0.0031,0.0001,200,1.4037
0.0679,0.0651,0.0000,0.0001,0.0026,0.0001,200,1.4036
0.0696,0.0652,0.0001,0.0001,0.0042,0.0000,200,1.4037
0.0734,0.0392,0.0000,0.0001,0.0340,0.0001,200,1.4037
0.0755,0.0723,0.0000,0.0001,0.0031,0.0001,200,1.4037
0.0381,0.0347,0.0000,0.0000,0.0032,0.0001,200,1.6035
0.0402,0.0362,0.0000,0.0001,0.0038,0.0001,200,1.6036
0.0627,0.0598,0.0000,0.0000,0.0028,0.0000,200,1.6035
0.0882,0.0614,0.0000,0.0000,0.0267,0.0001,200,1.6036
0.0902,0.0870,0.0000,0.0002,0.0029,0.0001,200,1.6037
0.0435,0.0404,0.0000,0.0001,0.0029,0.0001,200,1.8037
0.0733,0.0404,0.0001,0.0001,0.0327,0.0001,200,1.8037
0.0770,0.0395,0.0001,0.0001,0.0373,0.0001,200,1.8036
0.0771,0.0724,0.0000,0.0001,0.0045,0.0001,200,1.8037
0.0771,0.0740,0.0000,0.0000,0.0030,0.0000,200,1.8037
0.0376,0.0345,0.0000,0.0000,0.0030,0.0001,200,2.0036
0.0537,0.0509,0.0000,0.0001,0.0026,0.0001,200,2.0036
0.1009,0.0493,0.0001,0.0001,0.0514,0.0001,200,2.0036
0.1042,0.0776,0.0000,0.0001,0.0264,0.0001,200,2.0037
0.1045,0.1000,0.0000,0.0000,0.0043,0.0001,200,2.0037
0.0303,0.0275,0.0001,0.0001,0.0027,0.0001,200,2.2037
0.0546,0.0520,0.0001,0.0001,0.0025,0.0001,200,2.2037
0.0564,0.0536,0.0000,0.0001,0.0026,0.0001,200,2.2036
0.0613,0.0291,0.0001,0.0001,0.0320,0.0001,200,2.2036
0.0628,0.0602,0.0000,0.0001,0.0025,0.0001,200,2.2037
0.0369,0.0342,0.0000,0.0000,0.0026,0.0001,200,2.4036
0.0519,0.0492,0.0000,0.0000,0.0025,0.0001,200,2.4037
0.0538,0.0494,0.0000,0.0001,0.0042,0.0001,200,2.4037
0.0668,0.0358,0.0000,0.0001,0.0308,0.0001,200,2.4037
0.0689,0.0658,0.0001,0.0001,0.0029,0.0001,200,2.4036
0.0365,0.0338,0.0000,0.0001,0.0025,0.0001,200,2.6036
0.0652,0.0355,0.0001,0.0000,0.0296,0.0000,200,2.6037
0.0691,0.0356,0.0000,0.0001,0.0334,0.0001,200,2.6036
0.0692,0.0641,0.0000,0.0000,0.0049,0.0001,200,2.6037
0.0704,0.0657,0.0000,0.0001,0.0045,0.0001,200,2.6037
0.0383,0.0354,0.0000,0.0000,0.0028,0.0001,200,2.8037
0.0403,0.0370,0.0000,0.0001,0.0032,0.0001,200,2.8036
0.0613,0.0587,0.0001,0.0001,0.0025,0.0001,200,2.8036
0.0847,0.0570,0.0000,0.0001,0.0275,0.0001,200,2.8037
0.0869,0.0835,0.0000,0.0001,0.0032,0.0001,200,2.8037
0.0332,0.0305,0.0001,0.0001,0.0025,0.0001,200,3.0037
0.0350,0.0321,0.0000,0.0001,0.0027,0.0001,200,3.0037
0.0503,0.0478,0.0000,0.0001,0.0024,0.0001,200,3.0036
0.0742,0.0475,0.0000,0.0001,0.0265,0.0001,200,3.0038
0.0766,0.0731,0.0000,0.0001,0.0034,0.0001,200,3.0037
0.0442,0.0409,0.0000,0.0000,0.0032,0.0001,200,3.2036
0.0679,0.0650,0.0001,0.0000,0.0027,0.0001,200,3.2036
0.0697,0.0666,0.0000,0.0001,0.0030,0.0001,200,3.2036
0.0738,0.0394,0.0000,0.0001,0.0343,0.0001,200,3.2036
0.0755,0.0723,0.0000,0.0000,0.0030,0.0001,200,3.2036
0.0329,0.0301,0.0000,0.0000,0.0027,0.0001,200,3.4036
0.0346,0.0315,0.0000,0.0001,0.0029,0.0001,200,3.4037
0.0533,0.0503,0.0000,0.0001,0.0029,0.0001,200,3.4037
0.0787,0.0518,0.0000,0.0001,0.0267,0.0001,200,3.4038
0.0809,0.0773,0.0000,0.0000,0.0035,0.0001,200,3.4037
0.0428,0.0395,0.0000,0.0000,0.0032,0.0001,200,3.6037
0.0449,0.0395,0.0000,0.0001,0.0052,0.0001,200,3.6038
0.0614,0.0585,0.0000,0.0001,0.0028,0.0001,200,3.6038
0.0877,0.0601,0.0000,0.0001,0.0274,0.0001,200,3.6037
