response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0863,0.0404,0.0004,0.0001,0.0455,0.0001,200,0.2035
0.1023,0.0432,0.0002,0.0001,0.0587,0.0001,200,0.2036
0.1161,0.0735,0.0005,0.0001,0.0424,0.0001,200,0.2034
0.1197,0.0433,0.0004,0.0001,0.0761,0.0001,200,0.2035
0.1320,0.0829,0.0005,0.0001,0.0489,0.0001,200,0.2035
0.0955,0.0519,0.0000,0.0000,0.0435,0.0001,200,0.4034
0.0956,0.0361,0.0000,0.0001,0.0593,0.0001,200,0.4035
0.0960,0.0343,0.0000,0.0001,0.0615,0.0001,200,0.4036
0.1120,0.0520,0.0000,0.0000,0.0598,0.0001,200,0.4035
0.1311,0.0774,0.0000,0.0000,0.0535,0.0001,200,0.4034
0.0862,0.0514,0.0001,0.0001,0.0346,0.0001,200,0.6036
0.0929,0.0521,0.0000,0.0001,0.0406,0.0001,200,0.6035
0.0930,0.0515,0.0000,0.0001,0.0413,0.0001,200,0.6035
0.1232,0.0505,0.0000,0.0000,0.0726,0.0001,200,0.6034
0.1339,0.0827,0.0000,0.0001,0.0511,0.0001,200,0.6035
0.0731,0.0338,0.0000,0.0001,0.0392,0.0001,200,0.8034
0.0895,0.0593,0.0001,0.0001,0.0301,0.0001,200,0.8035
0.1382,0.0609,0.0000,0.0001,0.0771,0.0001,200,0.8035
0.1564,0.0865,0.0001,0.0001,0.0696,0.0001,200,0.8035
0.1623,0.1078,0.0000,0.0000,0.0544,0.0001,200,0.8036
0.0876,0.0394,0.0001,0.0000,0.0480,0.0001,200,1.0035
0.0947,0.0411,0.0000,0.0000,0.0535,0.0000,200,1.0035
0.1298,0.0705,0.0000,0.0001,0.0592,0.0001,200,1.0036
0.1422,0.0946,0.0001,0.0000,0.0474,0.0001,200,1.0034
0.1480,0.0412,0.0000,0.0000,0.1067,0.0001,200,1.0034
0.0739,0.0388,0.0000,0.0001,0.0348,0.0001,200,1.2035
0.1217,0.0632,0.0001,0.0000,0.0584,0.0001,200,1.2035
0.1406,0.0650,0.0000,0.0001,0.0754,0.0001,200,1.2034
0.1465,0.0934,0.0000,0.0000,0.0530,0.0001,200,1.2035
0.1523,0.0949,0.0001,0.0001,0.0572,0.0001,200,1.2035
0.0854,0.0362,0.0000,0.0001,0.0491,0.0001,200,1.4035
0.0927,0.0345,0.0000,0.0001,0.0580,0.0001,200,1.4035
0.1001,0.0501,0.0000,0.0001,0.0498,0.0001,200,1.4034
0.1020,0.0344,0.0000,0.0000,0.0675,0.0001,200,1.4035
0.1086,0.0649,0.0001,0.0000,0.0435,0.0001,200,1.4035
0.0645,0.0272,0.0000,0.0001,0.0370,0.0001,200,1.6034
0.0839,0.0451,0.0000,0.0001,0.0386,0.0001,200,1.6035
0.1005,0.0451,0.0001,0.0000,0.0553,0.0001,200,1.6035
0.1077,0.0289,0.0000,0.0001,0.0786,0.0001,200,1.6035
0.1182,0.0676,0.0000,0.0001,0.0504,0.0001,200,1.6035
0.0950,0.0411,0.0000,0.0001,0.0537,0.0001,200,1.8035
0.1113,0.0392,0.0000,0.0000,0.0720,0.0001,200,1.8034
0.1283,0.0717,0.0001,0.0001,0.0564,0.0001,200,1.8036
0.1349,0.0828,0.0000,0.0001,0.0519,0.0001,200,1.8035
0.1355,0.0407,0.0000,0.0000,0.0947,0.0001,200,1.8034
0.0850,0.0353,0.0001,0.0001,0.0495,0.0001,200,2.0034
0.1000,0.0353,0.0000,0.0001,0.0645,0.0001,200,2.0035
0.1006,0.0578,0.0000,0.0001,0.0426,0.0001,200,2.0035
0.1154,0.0578,0.0000,0.0001,0.0575,0.0001,200,2.0034
0.1265,0.0846,0.0000,0.0001,0.0417,0.0001,200,2.0036
0.0769,0.0391,0.0000,0.0000,0.0377,0.0001,200,2.2034
0.0945,0.0618,0.0000,0.0000,0.0325,0.0001,200,2.2033
0.1009,0.0616,0.0000,0.0001,0.0391,0.0001,200,2.2034
0.1065,0.0409,0.0000,0.0000,0.0655,0.0001,200,2.2033
0.1125,0.0709,0.0000,0.0001,0.0414,0.0001,200,2.2034
0.0685,0.0340,0.0000,0.0001,0.0344,0.0001,200,2.4034
0.0888,0.0364,0.0000,0.0000,0.0522,0.0001,200,2.4036
0.0920,0.0365,0.0000,0.0000,0.0553,0.0001,200,2.4035
0.0982,0.0580,0.0000,0.0001,0.0400,0.0001,200,2.4035
0.1046,0.0581,0.0000,0.0001,0.0464,0.0001,200,2.4035
0.1122,0.0396,0.0001,0.0001,0.0725,0.0001,200,2.6034
0.1123,0.0404,0.0000,0.0000,0.0718,0.0001,200,2.6034
0.1126,0.0393,0.0000,0.0001,0.0731,0.0001,200,2.6034
0.1324,0.0404,0.0000,0.0000,0.0918,0.0001,200,2.6034
0.1382,0.0811,0.0000,0.0001,0.0569,0.0001,200,2.6034
0.0690,0.0272,0.0000,0.0001,0.0416,0.0001,200,2.8035
0.0778,0.0282,0.0000,0.0001,0.0494,0.0001,200,2.8035
